Symbol,Side,TF,Touch Time,Close
360ONE,BUY,1h,2026-05-14T12:00:00.000,1094.1
APOLLOHOSP,BUY,1h,2026-05-14T09:00:00.000,8112
BALRAMCHIN,BUY,1h,2026-05-14T12:00:00.000,537.45
BHARATFORG,BUY,1h,2026-05-14T11:00:00.000,1963.4
CAPLIPOINT,BUY,1h,2026-05-14T13:00:00.000,1978.3
CONCOR,BUY,1h,2026-05-14T15:00:00.000,523.95
DEVYANI,BUY,1h,2026-05-14T13:00:00.000,118.18
ENDURANCE,BUY,1h,2026-05-14T11:00:00.000,2580
GLAND,BUY,1h,2026-05-14T11:00:00.000,1860
GODREJIND,BUY,1h,2026-05-14T09:00:00.000,1157.1
GRANULES,BUY,1h,2026-05-14T11:00:00.000,738.7
GRAPHITE,BUY,1h,2026-05-14T11:00:00.000,747.15
GRINDWELL,BUY,1h,2026-05-14T09:00:00.000,1785.6
GRINDWELL,BUY,1h,2026-05-14T13:00:00.000,1798.6
HFCL,BUY,1h,2026-05-14T14:00:00.000,149.78
IFCI,BUY,1h,2026-05-14T11:00:00.000,64.69
IIFL,BUY,1h,2026-05-14T15:00:00.000,462.3
JBCHEPHARM,BUY,1h,2026-05-14T12:00:00.000,2135
JKLAKSHMI,BUY,1h,2026-05-14T10:00:00.000,661.85
JKLAKSHMI,BUY,1h,2026-05-14T11:00:00.000,666.8
JKLAKSHMI,BUY,1h,2026-05-14T14:00:00.000,664.15
LLOYDSME,BUY,1h,2026-05-14T13:00:00.000,1760.9
MANAPPURAM,BUY,1h,2026-05-14T11:00:00.000,309.7
MEDANTA,BUY,1h,2026-05-14T09:00:00.000,1209.1
METROBRAND,BUY,1h,2026-05-14T14:00:00.000,1044
METROPOLIS,BUY,1h,2026-05-14T14:00:00.000,549.7
NAVA,BUY,1h,2026-05-14T12:00:00.000,710.8
RADICO,BUY,1h,2026-05-14T09:00:00.000,3487.5
RATNAMANI,BUY,1h,2026-05-14T09:00:00.000,2898.4
ROSSARI,BUY,1h,2026-05-14T11:00:00.000,523.05
RRKABEL,BUY,1h,2026-05-14T11:00:00.000,1962.8
SOLARINDS,BUY,1h,2026-05-14T09:00:00.000,16387
SONACOMS,BUY,1h,2026-05-14T15:00:00.000,590
SRF,BUY,1h,2026-05-14T12:00:00.000,2733.8
TORNTPHARM,BUY,1h,2026-05-14T10:00:00.000,4372.6
UTIAMC,BUY,1h,2026-05-14T13:00:00.000,971.05
UTIAMC,BUY,1h,2026-05-14T14:00:00.000,972
WELSPUNLIV,BUY,1h,2026-05-14T14:00:00.000,134.79
AADHARHFC,SELL,1h,2026-05-14T09:00:00.000,472.35
AAVAS,SELL,1h,2026-05-14T09:00:00.000,1393.2
AAVAS,SELL,1h,2026-05-14T10:00:00.000,1388.5
AAVAS,SELL,1h,2026-05-14T12:00:00.000,1383.1
ABCAPITAL,SELL,1h,2026-05-14T10:00:00.000,346.2
ABCAPITAL,SELL,1h,2026-05-14T14:00:00.000,347.9
ABFRL,SELL,1h,2026-05-14T09:00:00.000,63.3
ABFRL,SELL,1h,2026-05-14T12:00:00.000,63.76
ACC,SELL,1h,2026-05-14T09:00:00.000,1361.3
ACE,SELL,1h,2026-05-14T09:00:00.000,876.1
ACE,SELL,1h,2026-05-14T14:00:00.000,886.85
AFCONS,SELL,1h,2026-05-14T09:00:00.000,328.2
AFCONS,SELL,1h,2026-05-14T14:00:00.000,330.7
AIAENG,SELL,1h,2026-05-14T12:00:00.000,3831.2
AKUMS,SELL,1h,2026-05-14T13:00:00.000,524.8
ALOKINDS,SELL,1h,2026-05-14T09:00:00.000,13.63
ALOKINDS,SELL,1h,2026-05-14T14:00:00.000,13.75
AMBER,SELL,1h,2026-05-14T09:00:00.000,8054.5
AMBUJACEM,SELL,1h,2026-05-14T09:00:00.000,434.9
ANANDRATHI,SELL,1h,2026-05-14T09:00:00.000,3516.7
APLAPOLLO,SELL,1h,2026-05-14T09:00:00.000,1844.6
APLAPOLLO,SELL,1h,2026-05-14T14:00:00.000,1888.9
ARE&M,SELL,1h,2026-05-14T09:00:00.000,837.8
ASTRAL,SELL,1h,2026-05-14T09:00:00.000,1530
ASTRAZEN,SELL,1h,2026-05-14T09:00:00.000,8283
ASTRAZEN,SELL,1h,2026-05-14T15:00:00.000,8325
ATGL,SELL,1h,2026-05-14T09:00:00.000,604.85
ATGL,SELL,1h,2026-05-14T10:00:00.000,604
ATGL,SELL,1h,2026-05-14T13:00:00.000,609.1
AUBANK,SELL,1h,2026-05-14T12:00:00.000,1000.1
AVANTIFEED,SELL,1h,2026-05-14T09:00:00.000,1323.4
AWL,SELL,1h,2026-05-14T09:00:00.000,195.33
AXISBANK,SELL,1h,2026-05-14T13:00:00.000,1259.1
BAJAJELEC,SELL,1h,2026-05-14T13:00:00.000,390.85
BAJAJELEC,SELL,1h,2026-05-14T14:00:00.000,390.95
BAJAJELEC,SELL,1h,2026-05-14T15:00:00.000,390.8
BAJFINANCE,SELL,1h,2026-05-14T13:00:00.000,907.9
BANKINDIA,SELL,1h,2026-05-14T09:00:00.000,140.1
BATAINDIA,SELL,1h,2026-05-14T15:00:00.000,705.45
BAYERCROP,SELL,1h,2026-05-14T09:00:00.000,4410.3
BDL,SELL,1h,2026-05-14T13:00:00.000,1364.4
BDL,SELL,1h,2026-05-14T14:00:00.000,1354.2
BEL,SELL,1h,2026-05-14T09:00:00.000,426.7
BEL,SELL,1h,2026-05-14T10:00:00.000,425.3
BEML,SELL,1h,2026-05-14T09:00:00.000,1832.9
BEML,SELL,1h,2026-05-14T13:00:00.000,1847.8
BIKAJI,SELL,1h,2026-05-14T09:00:00.000,640.5
BPCL,SELL,1h,2026-05-14T09:00:00.000,293
BRITANNIA,SELL,1h,2026-05-14T13:00:00.000,5374.5
CAMS,SELL,1h,2026-05-14T09:00:00.000,783.4
CANBK,SELL,1h,2026-05-14T09:00:00.000,128.7
CASTROLIND,SELL,1h,2026-05-14T15:00:00.000,181.6
CCL,SELL,1h,2026-05-14T09:00:00.000,1109.9
CGCL,SELL,1h,2026-05-14T12:00:00.000,186.95
CHALET,SELL,1h,2026-05-14T15:00:00.000,750
CHENNPETRO,SELL,1h,2026-05-14T09:00:00.000,1022.9
CHOLAFIN,SELL,1h,2026-05-14T14:00:00.000,1569
COALINDIA,SELL,1h,2026-05-14T14:00:00.000,454.6
COCHINSHIP,SELL,1h,2026-05-14T14:00:00.000,1645.7
COLPAL,SELL,1h,2026-05-14T09:00:00.000,2128
COLPAL,SELL,1h,2026-05-14T15:00:00.000,2141
