Symbol,Side,TF,Touch Time,Close
360ONE,BUY,1h,2026-05-14 12:00:00,1094.1
AADHARHFC,SELL,1h,2026-05-14 09:00:00,472.35
AAVAS,SELL,1h,2026-05-14 09:00:00,1393.2
AAVAS,SELL,1h,2026-05-14 10:00:00,1388.5
AAVAS,SELL,1h,2026-05-14 12:00:00,1383.1
ABCAPITAL,SELL,1h,2026-05-14 10:00:00,346.2
ABCAPITAL,SELL,1h,2026-05-14 14:00:00,347.9
ABFRL,SELL,1h,2026-05-14 09:00:00,63.3
ABFRL,SELL,1h,2026-05-14 12:00:00,63.76
ACC,SELL,1h,2026-05-14 09:00:00,1361.3
ACE,SELL,1h,2026-05-14 09:00:00,876.1
ACE,SELL,1h,2026-05-14 14:00:00,886.85
AFCONS,SELL,1h,2026-05-14 09:00:00,328.2
AFCONS,SELL,1h,2026-05-14 14:00:00,330.7
AIAENG,SELL,1h,2026-05-14 12:00:00,3831.2
AKUMS,SELL,1h,2026-05-14 13:00:00,524.8
ALOKINDS,SELL,1h,2026-05-14 09:00:00,13.63
ALOKINDS,SELL,1h,2026-05-14 14:00:00,13.75
AMBER,SELL,1h,2026-05-14 09:00:00,8054.5
AMBUJACEM,SELL,1h,2026-05-14 09:00:00,434.9
ANANDRATHI,SELL,1h,2026-05-14 09:00:00,3516.7
APLAPOLLO,SELL,1h,2026-05-14 09:00:00,1844.6
APLAPOLLO,SELL,1h,2026-05-14 14:00:00,1888.9
APOLLOHOSP,BUY,1h,2026-05-14 09:00:00,8112.0
ARE&M,SELL,1h,2026-05-14 09:00:00,837.8
ASTRAL,SELL,1h,2026-05-14 09:00:00,1530.0
ASTRAZEN,SELL,1h,2026-05-14 09:00:00,8283.0
ASTRAZEN,SELL,1h,2026-05-14 15:00:00,8325.0
ATGL,SELL,1h,2026-05-14 09:00:00,604.85
ATGL,SELL,1h,2026-05-14 10:00:00,604.0
ATGL,SELL,1h,2026-05-14 13:00:00,609.1
AUBANK,SELL,1h,2026-05-14 12:00:00,1000.1
AVANTIFEED,SELL,1h,2026-05-14 09:00:00,1323.4
AWL,SELL,1h,2026-05-14 09:00:00,195.33
AXISBANK,SELL,1h,2026-05-14 13:00:00,1259.1
BAJAJELEC,SELL,1h,2026-05-14 13:00:00,390.85
BAJAJELEC,SELL,1h,2026-05-14 14:00:00,390.95
BAJAJELEC,SELL,1h,2026-05-14 15:00:00,390.8
BAJFINANCE,SELL,1h,2026-05-14 13:00:00,907.9
BALRAMCHIN,BUY,1h,2026-05-14 12:00:00,537.45
BANKINDIA,SELL,1h,2026-05-14 09:00:00,140.1
BATAINDIA,SELL,1h,2026-05-14 15:00:00,705.45
BAYERCROP,SELL,1h,2026-05-14 09:00:00,4410.3
BDL,SELL,1h,2026-05-14 13:00:00,1364.4
BDL,SELL,1h,2026-05-14 14:00:00,1354.2
BEL,SELL,1h,2026-05-14 09:00:00,426.7
BEL,SELL,1h,2026-05-14 10:00:00,425.3
BEML,SELL,1h,2026-05-14 09:00:00,1832.9
BEML,SELL,1h,2026-05-14 13:00:00,1847.8
BHARATFORG,BUY,1h,2026-05-14 11:00:00,1963.4
BIKAJI,SELL,1h,2026-05-14 09:00:00,640.5
BPCL,SELL,1h,2026-05-14 09:00:00,293.0
BRITANNIA,SELL,1h,2026-05-14 13:00:00,5374.5
CAMS,SELL,1h,2026-05-14 09:00:00,783.4
CANBK,SELL,1h,2026-05-14 09:00:00,128.7
CAPLIPOINT,BUY,1h,2026-05-14 13:00:00,1978.3
CASTROLIND,SELL,1h,2026-05-14 15:00:00,181.6
CCL,SELL,1h,2026-05-14 09:00:00,1109.9
CGCL,SELL,1h,2026-05-14 12:00:00,186.95
CHALET,SELL,1h,2026-05-14 15:00:00,750.0
CHENNPETRO,SELL,1h,2026-05-14 09:00:00,1022.9
CHOLAFIN,SELL,1h,2026-05-14 14:00:00,1569.0
COALINDIA,SELL,1h,2026-05-14 14:00:00,454.6
COCHINSHIP,SELL,1h,2026-05-14 14:00:00,1645.7
COLPAL,SELL,1h,2026-05-14 09:00:00,2128.0
COLPAL,SELL,1h,2026-05-14 15:00:00,2141.0
CONCOR,BUY,1h,2026-05-14 15:00:00,523.95
CONCORDBIO,SELL,1h,2026-05-14 13:00:00,1141.8
CONCORDBIO,SELL,1h,2026-05-14 15:00:00,1131.0
COROMANDEL,SELL,1h,2026-05-14 09:00:00,1840.5
DELHIVERY,SELL,1h,2026-05-14 12:00:00,468.45
DEVYANI,BUY,1h,2026-05-14 13:00:00,118.18
DMART,SELL,1h,2026-05-14 09:00:00,4291.8
DMART,SELL,1h,2026-05-14 14:00:00,4348.1
EICHERMOT,SELL,1h,2026-05-14 15:00:00,7040.5
EIHOTEL,SELL,1h,2026-05-14 09:00:00,315.8
ELGIEQUIP,SELL,1h,2026-05-14 15:00:00,524.6
ENDURANCE,BUY,1h,2026-05-14 11:00:00,2580.0
ESCORTS,SELL,1h,2026-05-14 12:00:00,2986.3
EXIDEIND,SELL,1h,2026-05-14 09:00:00,345.75
FACT,SELL,1h,2026-05-14 09:00:00,872.65
FACT,SELL,1h,2026-05-14 13:00:00,877.0
FINPIPE,SELL,1h,2026-05-14 09:00:00,168.38
FIRSTCRY,SELL,1h,2026-05-14 09:00:00,231.78
FIVESTAR,SELL,1h,2026-05-14 09:00:00,456.2
GAIL,SELL,1h,2026-05-14 09:00:00,161.39
GAIL,SELL,1h,2026-05-14 14:00:00,162.58
GARFIBRES,SELL,1h,2026-05-14 09:00:00,621.75
GICRE,SELL,1h,2026-05-14 10:00:00,385.5
GILLETTE,SELL,1h,2026-05-14 09:00:00,7857.0
GLAND,BUY,1h,2026-05-14 11:00:00,1860.0
