Symbol,Side,TF,Touch Time,Close
360ONE,BUY,1d,2026-05-14,1102.1
ABCAPITAL,BUY,1d,2026-05-14,349.65
ABSLAMC,BUY,1d,2026-05-14,1068.2
ADANIENSOL,BUY,1d,2026-05-14,1319.1
AWL,BUY,1d,2026-05-14,200.81
BOSCHLTD,BUY,1d,2026-05-14,36945.0
CESC,BUY,1d,2026-05-14,184.46
CLEAN,BUY,1d,2026-05-14,818.0
DRREDDY,BUY,1d,2026-05-14,1303.6
ENGINERSIN,BUY,1d,2026-05-14,254.05
FINEORG,BUY,1d,2026-05-14,4714.6
GLENMARK,BUY,1d,2026-05-14,2340.6
HEG,BUY,1d,2026-05-14,617.65
HINDPETRO,SELL,1d,2026-05-14,377.55
IEX,BUY,1d,2026-05-14,128.44
INDUSINDBK,BUY,1d,2026-05-14,907.9
IPCALAB,BUY,1d,2026-05-14,1583.9
KEI,BUY,1d,2026-05-14,5144.7
LINDEINDIA,BUY,1d,2026-05-14,7413.5
MANYAVAR,BUY,1d,2026-05-14,442.55
METROPOLIS,SELL,1d,2026-05-14,540.7
NCC,BUY,1d,2026-05-14,162.2
PAYTM,BUY,1d,2026-05-14,1144.6
POWERINDIA,BUY,1d,2026-05-14,32290.0
POWERMECH,BUY,1d,2026-05-14,2450.2
RAILTEL,BUY,1d,2026-05-14,328.65
RBLBANK,BUY,1d,2026-05-14,337.2
RPOWER,BUY,1d,2026-05-14,27.86
SAREGAMA,BUY,1d,2026-05-14,384.55
SIEMENS,BUY,1d,2026-05-14,3693.8
SOBHA,BUY,1d,2026-05-14,1402.8
SUZLON,BUY,1d,2026-05-14,53.47
TRENT,BUY,1d,2026-05-14,4132.4
