Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,0.5,1.0,2.0,559,162,356,2,31.3,-0.811,-453.33,1.8,-2.02,-0.818,0.41,-546.31,-0.83
All touches,0.5,1.5,3.0,559,129,411,2,23.9,-0.228,-127.67,1.88,-0.93,-0.232,0.67,-208.51,-0.61
All touches,0.5,2.0,4.0,559,102,453,2,18.4,-0.105,-58.72,2.0,-0.58,-0.107,0.78,-93.22,-0.63
All touches,0.5,2.5,5.0,559,85,470,2,15.3,0.05,27.96,3.02,-0.5,0.048,1.12,-76.0,0.37
All touches,0.5,3.0,6.0,559,71,486,2,12.7,-0.054,-30.0,3.0,-0.5,-0.055,0.88,-91.0,-0.33
All touches,0.5,3.5,7.0,559,64,493,2,11.5,-0.04,-22.5,3.5,-0.5,-0.042,0.91,-95.0,-0.24
All touches,0.5,4.0,8.0,559,63,494,2,11.3,0.009,5.0,4.0,-0.5,0.007,1.02,-88.5,0.06
All touches,0.5,4.5,9.0,559,54,502,3,9.7,-0.011,-6.27,4.45,-0.5,-0.013,0.98,-97.0,-0.06
All touches,0.5,5.0,10.0,559,50,506,3,9.0,-0.002,-1.27,4.94,-0.5,-0.004,0.99,-92.0,-0.01
All touches,0.5,5.5,11.0,559,46,509,4,8.3,0.005,2.79,5.36,-0.5,0.003,1.01,-93.0,0.03
All touches,0.5,6.0,12.0,559,40,515,4,7.2,-0.024,-13.21,5.82,-0.5,-0.025,0.95,-108.0,-0.12
All touches,0.5,6.5,13.0,559,32,523,4,5.8,-0.088,-49.21,6.24,-0.5,-0.09,0.81,-117.0,-0.42
All touches,0.5,7.0,14.0,559,27,528,4,4.9,-0.126,-70.71,6.67,-0.5,-0.128,0.73,-128.0,-0.55
All touches,0.5,7.5,15.0,559,26,528,5,4.7,-0.112,-62.71,6.94,-0.5,-0.114,0.76,-125.0,-0.5
All touches,0.5,8.0,16.0,559,24,530,5,4.3,-0.119,-66.71,7.34,-0.5,-0.121,0.75,-130.5,-0.51
All touches,0.5,8.5,17.0,559,19,535,5,3.4,-0.178,-99.71,7.63,-0.5,-0.18,0.63,-152.0,-0.66
All touches,0.5,9.0,18.0,559,17,537,5,3.1,-0.195,-109.21,7.96,-0.5,-0.197,0.59,-168.0,-0.65
All touches,0.5,9.5,19.0,559,15,539,5,2.7,-0.216,-120.71,8.27,-0.5,-0.218,0.55,-168.0,-0.72
All touches,0.5,10.0,20.0,559,15,539,5,2.7,-0.203,-113.21,8.68,-0.5,-0.204,0.58,-166.0,-0.68
All touches,0.5,10.5,21.0,559,13,541,5,2.3,-0.228,-127.71,8.92,-0.5,-0.23,0.53,-164.0,-0.78
All touches,0.5,11.0,22.0,559,10,544,5,1.8,-0.279,-155.71,8.95,-0.5,-0.28,0.43,-174.0,-0.89
All touches,0.5,11.5,23.0,559,10,544,5,1.8,-0.27,-150.71,9.33,-0.5,-0.271,0.45,-172.0,-0.88
All touches,0.5,12.0,24.0,559,10,544,5,1.8,-0.261,-145.71,9.71,-0.5,-0.262,0.46,-170.5,-0.85
All touches,0.5,12.5,25.0,559,10,544,5,1.8,-0.252,-140.71,10.1,-0.5,-0.254,0.48,-169.0,-0.83
