SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1.0,5.0,5.0,128,27,99,21.4,0.295,37.73
3.0,5.0,1.67,128,51,73,41.1,0.288,36.8
2.5,5.0,2.0,128,45,79,36.3,0.221,28.3
1.0,4.0,4.0,128,31,96,24.4,0.219,28.0
5.0,4.0,0.8,128,72,50,59.0,0.219,28.02
4.0,4.0,1.0,128,66,58,53.2,0.219,27.99
1.5,5.0,3.33,128,33,92,26.4,0.217,27.74
4.0,5.0,1.25,128,58,65,47.2,0.217,27.72
5.0,1.5,0.3,128,100,23,81.3,0.216,27.64
1.0,7.0,7.0,128,18,106,14.5,0.204,26.09
1.5,4.0,2.67,128,39,87,31.0,0.191,24.51
3.0,4.0,1.33,128,57,68,45.6,0.18,23.07
4.0,1.5,0.38,128,95,29,76.6,0.176,22.49
5.0,1.0,0.2,128,108,17,86.4,0.146,18.66
2.5,4.0,1.6,128,51,74,40.8,0.141,18.07
5.0,2.0,0.4,128,91,31,74.6,0.133,17.02
5.0,5.0,1.0,128,63,58,52.1,0.131,16.75
1.0,10.0,10.0,128,12,112,9.7,0.11,14.09
6.0,1.5,0.25,128,101,22,82.1,0.095,12.14
5.0,3.0,0.6,128,79,43,64.8,0.094,12.02
2.0,5.0,2.5,128,37,87,29.8,0.092,11.8
4.0,2.0,0.5,128,85,39,68.5,0.078,9.99
4.0,1.0,0.25,128,103,23,81.7,0.078,10.01
6.0,1.0,0.17,128,109,16,87.2,0.068,8.66
1.5,7.0,4.67,128,22,101,17.9,0.059,7.6
2.0,4.0,2.0,128,43,82,34.4,0.055,7.07
1.5,2.0,1.33,128,56,70,44.4,0.047,6.01
3.0,2.0,0.67,128,76,49,60.8,0.032,4.07
2.5,7.0,2.8,128,32,90,26.2,0.032,4.16
6.0,2.0,0.33,128,93,29,76.2,0.016,2.02
2.5,2.0,0.8,128,70,55,56.0,0.012,1.57
1.0,3.0,3.0,128,32,95,25.2,0.008,1.0
2.0,2.0,1.0,128,63,62,50.4,0.008,1.07
4.0,3.0,0.75,128,71,53,57.3,-0.024,-3.01
1.0,2.0,2.0,128,41,86,32.3,-0.031,-4.0
8.0,1.0,0.12,128,111,14,88.8,-0.042,-5.34
1.5,3.0,2.0,128,40,86,31.7,-0.078,-9.99
3.0,7.0,2.33,128,35,87,28.7,-0.085,-10.84
8.0,1.5,0.19,128,103,19,84.4,-0.094,-11.97
6.0,4.0,0.67,128,73,49,59.8,-0.094,-11.98
2.0,7.0,3.5,128,25,97,20.5,-0.108,-13.84
3.0,3.0,1.0,128,60,65,48.0,-0.124,-15.93
2.5,3.0,1.2,128,54,71,43.2,-0.128,-16.43
1.5,10.0,6.67,128,14,108,11.5,-0.136,-17.47
6.0,3.0,0.5,128,80,42,65.6,-0.172,-21.98
2.5,1.0,0.4,128,95,30,76.0,-0.182,-23.24
8.0,2.0,0.25,128,96,25,79.3,-0.196,-25.09
2.5,1.5,0.6,128,82,42,66.1,-0.197,-25.18
2.0,3.0,1.5,128,45,80,36.0,-0.203,-25.93
3.0,1.0,0.33,128,98,27,78.4,-0.205,-26.24
1.5,1.0,0.67,128,78,45,63.4,-0.213,-27.27
3.0,1.5,0.5,128,86,38,69.4,-0.22,-28.18
1.5,1.5,1.0,128,64,59,52.0,-0.236,-30.27
6.0,5.0,0.83,128,64,57,52.9,-0.236,-30.25
4.0,7.0,1.75,128,41,80,33.9,-0.242,-30.92
2.5,10.0,4.0,128,21,98,17.6,-0.246,-31.49
2.0,1.0,0.5,128,87,38,69.6,-0.252,-32.24
2.0,10.0,5.0,128,17,103,14.2,-0.253,-32.34
2.0,1.5,0.75,128,73,51,58.9,-0.279,-35.68
5.0,7.0,1.4,128,46,72,39.0,-0.353,-45.23
8.0,4.0,0.5,128,78,43,64.5,-0.384,-49.09
1.0,15.0,15.0,128,4,119,3.3,-0.387,-49.53
8.0,3.0,0.38,128,85,36,70.2,-0.391,-50.09
1.5,15.0,10.0,128,6,115,5.0,-0.583,-74.59
3.0,10.0,3.33,128,21,97,17.8,-0.611,-78.25
8.0,5.0,0.62,128,69,51,57.5,-0.612,-78.36
1.0,1.5,1.5,128,48,76,38.7,-0.652,-83.4
1.0,1.0,1.0,128,62,61,50.4,-0.657,-84.04
6.0,7.0,1.17,128,48,70,40.7,-0.713,-91.23
2.5,15.0,6.0,128,10,106,8.6,-0.73,-93.42
2.0,15.0,7.5,128,8,111,6.7,-0.742,-94.96
4.0,10.0,2.5,128,24,92,20.7,-0.961,-123.04
3.0,15.0,5.0,128,10,105,8.7,-1.126,-144.18
5.0,10.0,2.0,128,28,85,24.8,-1.167,-149.35
8.0,7.0,0.88,128,50,64,43.9,-1.316,-168.46
4.0,15.0,3.75,128,13,100,11.5,-1.422,-181.97
6.0,10.0,1.67,128,31,82,27.4,-1.456,-186.35
5.0,15.0,3.0,128,16,94,14.5,-1.69,-216.28
8.0,10.0,1.25,128,35,73,32.4,-1.87,-239.36
6.0,15.0,2.5,128,18,92,16.4,-2.096,-268.28
8.0,15.0,1.88,128,23,81,22.1,-2.312,-295.91
