SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1.0,5.5,5.5,231,42,185,18.5,0.218,50.29
0.75,6.0,8.0,231,32,195,14.1,0.217,50.04
1.0,5.0,5.0,231,46,182,20.2,0.215,49.73
0.75,5.5,7.33,231,34,193,15.0,0.201,46.54
3.5,4.0,1.14,231,112,114,49.6,0.201,46.42
0.75,6.5,8.67,231,29,198,12.8,0.192,44.29
1.0,6.0,6.0,231,38,189,16.7,0.187,43.29
0.5,6.0,12.0,231,23,204,10.1,0.174,40.29
0.75,8.0,10.67,231,23,203,10.2,0.165,38.04
0.5,6.5,13.0,231,21,206,9.3,0.164,37.79
0.75,5.0,6.67,231,36,192,15.8,0.163,37.73
1.0,4.0,4.0,231,53,176,23.1,0.156,36.0
0.75,7.5,10.0,231,24,202,10.6,0.151,34.79
0.5,5.5,11.0,231,24,203,10.6,0.151,34.79
3.75,4.0,1.07,231,114,112,50.4,0.145,33.42
0.75,4.0,5.33,231,43,186,18.8,0.141,32.5
1.0,6.5,6.5,231,34,193,15.0,0.14,32.29
1.0,4.5,4.5,231,47,181,20.6,0.14,32.23
3.25,4.0,1.23,231,106,120,46.9,0.136,31.42
0.5,5.0,10.0,231,26,202,11.4,0.133,30.73
0.75,7.0,9.33,231,25,202,11.0,0.12,27.79
1.0,8.0,8.0,231,27,198,12.0,0.113,26.09
0.75,4.5,6.0,231,37,191,16.2,0.108,24.98
0.5,4.0,8.0,231,31,198,13.5,0.108,25.0
1.25,5.5,4.4,231,45,182,19.8,0.105,24.29
1.25,5.0,4.0,231,49,179,21.5,0.099,22.98
0.5,4.5,9.0,231,27,201,11.8,0.098,22.73
0.75,8.5,11.33,231,20,206,8.8,0.094,21.79
0.5,7.5,15.0,231,16,210,7.1,0.092,21.29
1.0,7.5,7.5,231,28,197,12.4,0.091,21.09
0.5,8.0,16.0,231,15,211,6.6,0.09,20.79
1.5,4.0,2.67,231,66,162,28.9,0.087,20.01
1.0,3.5,3.5,231,55,174,24.0,0.08,18.5
1.25,4.0,3.2,231,58,171,25.3,0.079,18.25
0.5,7.0,14.0,231,17,210,7.5,0.079,18.29
1.5,5.0,3.33,231,55,172,24.2,0.077,17.74
0.75,3.5,4.67,231,44,185,19.2,0.066,15.25
1.5,4.5,3.0,231,59,168,26.0,0.062,14.24
0.5,3.5,7.0,231,32,197,14.0,0.058,13.5
3.0,4.0,1.33,231,99,127,43.8,0.054,12.42
3.25,3.5,1.08,231,111,115,49.1,0.053,12.17
3.0,5.0,1.67,231,86,139,38.2,0.053,12.15
1.0,7.0,7.0,231,29,197,12.8,0.052,12.09
1.0,8.5,8.5,231,24,201,10.7,0.048,11.09
1.25,6.0,4.8,231,40,187,17.6,0.046,10.54
0.5,8.5,17.0,231,13,213,5.8,0.045,10.29
1.25,4.5,3.6,231,51,177,22.4,0.043,9.98
0.5,10.0,20.0,231,11,215,4.9,0.038,8.79
0.5,9.0,18.0,231,12,214,5.3,0.032,7.29
3.0,4.5,1.5,231,91,134,40.4,0.029,6.65
2.5,5.0,2.0,231,76,150,33.6,0.025,5.8
2.5,4.0,1.6,231,88,139,38.8,0.015,3.57
0.5,2.0,4.0,231,46,182,20.2,0.014,3.3
0.5,9.5,19.0,231,11,215,4.9,0.014,3.29
0.75,9.0,12.0,231,17,209,7.5,0.011,2.54
3.5,5.0,1.43,231,93,132,41.3,0.009,2.15
3.25,5.0,1.54,231,89,136,39.6,0.009,2.15
0.5,3.0,6.0,231,33,196,14.4,0.004,1.0
0.75,9.5,12.67,231,16,210,7.1,0.003,0.79
1.25,6.5,5.2,231,36,191,15.9,-0.002,-0.46
0.5,2.5,5.0,231,38,191,16.6,-0.002,-0.5
1.25,3.5,2.8,231,60,169,26.2,-0.005,-1.25
1.75,4.0,2.29,231,69,158,30.4,-0.006,-1.43
1.5,3.5,2.33,231,68,160,29.8,-0.013,-2.99
1.75,5.0,2.86,231,58,168,25.7,-0.014,-3.2
3.25,4.5,1.38,231,94,131,41.8,-0.016,-3.6
0.75,2.0,2.67,231,61,168,26.6,-0.017,-4.0
2.5,4.5,1.8,231,80,146,35.4,-0.018,-4.2
3.5,4.5,1.29,231,98,127,43.6,-0.019,-4.35
3.0,3.5,1.17,231,104,122,46.0,-0.02,-4.58
1.25,8.0,6.4,231,29,196,12.9,-0.021,-4.91
0.75,2.5,3.33,231,51,178,22.3,-0.026,-6.0
0.75,3.0,4.0,231,44,185,19.2,-0.029,-6.75
1.5,5.5,3.67,231,47,179,20.8,-0.029,-6.7
1.0,9.5,9.5,231,20,205,8.9,-0.03,-6.91
1.0,2.0,2.0,231,74,155,32.3,-0.03,-7.0
1.0,9.0,9.0,231,21,204,9.3,-0.03,-6.91
1.75,4.5,2.57,231,62,164,27.4,-0.031,-7.2
2.25,5.0,2.22,231,69,157,30.5,-0.032,-7.45
0.5,10.5,21.0,231,9,217,4.0,-0.033,-7.71
2.75,5.0,1.82,231,79,147,35.0,-0.037,-8.45
1.0,3.0,3.0,231,55,174,24.0,-0.039,-9.0
2.0,5.0,2.5,231,63,163,27.9,-0.044,-10.2
1.25,7.5,6.0,231,30,195,13.3,-0.046,-10.66
2.0,4.0,2.0,231,74,153,32.6,-0.047,-10.93
2.75,4.0,1.45,231,91,136,40.1,-0.047,-10.93
2.25,4.0,1.78,231,80,147,35.2,-0.051,-11.68
1.0,2.5,2.5,231,62,167,27.1,-0.052,-12.0
0.75,10.0,13.33,231,14,212,6.2,-0.055,-12.71
3.75,5.0,1.33,231,95,130,42.2,-0.058,-13.35
2.25,4.5,2.0,231,73,153,32.3,-0.065,-14.95
2.0,4.5,2.25,231,67,159,29.6,-0.068,-15.7
1.5,2.0,1.33,231,93,135,40.8,-0.076,-17.49
4.0,5.0,1.25,231,98,126,43.8,-0.078,-17.93
1.0,10.0,10.0,231,18,207,8.0,-0.082,-18.91
2.75,4.5,1.64,231,83,143,36.7,-0.082,-18.95
1.25,2.0,1.6,231,82,147,35.8,-0.085,-19.75
3.75,4.5,1.2,231,100,125,44.4,-0.085,-19.6
1.25,7.0,5.6,231,31,195,13.7,-0.089,-20.66
1.5,6.0,4.0,231,42,184,18.6,-0.09,-20.7
2.5,3.5,1.4,231,91,136,40.1,-0.097,-22.43
0.5,13.5,27.0,231,6,220,2.7,-0.098,-22.71
4.0,4.5,1.12,231,103,121,46.0,-0.106,-24.43
1.75,3.5,2.0,231,71,156,31.3,-0.11,-25.43
0.5,13.0,26.0,231,6,220,2.7,-0.111,-25.71
1.25,2.5,2.0,231,69,160,30.1,-0.119,-27.5
1.75,5.5,3.14,231,50,175,22.2,-0.121,-27.89
0.5,12.5,25.0,231,6,220,2.7,-0.124,-28.71
1.25,8.5,6.8,231,25,200,11.1,-0.127,-29.41
4.25,5.0,1.18,231,100,123,44.8,-0.13,-30.03
1.5,2.5,1.67,231,78,150,34.2,-0.134,-30.99
1.25,3.0,2.4,231,60,169,26.2,-0.135,-31.25
0.5,12.0,24.0,231,6,220,2.7,-0.137,-31.71
1.5,6.5,4.33,231,38,188,16.8,-0.137,-31.7
0.5,11.5,23.0,231,6,220,2.7,-0.15,-34.71
0.5,15.0,30.0,231,4,220,1.8,-0.16,-36.98
2.0,3.5,1.75,231,76,151,33.5,-0.16,-36.93
1.5,3.0,2.0,231,68,160,29.8,-0.16,-36.99
0.5,11.0,22.0,231,6,220,2.7,-0.163,-37.71
2.75,3.5,1.27,231,94,133,41.4,-0.163,-37.68
1.75,2.0,1.14,231,96,131,42.3,-0.165,-38.18
0.5,14.5,29.0,231,4,220,1.8,-0.169,-38.98
2.5,5.5,2.2,231,65,160,28.9,-0.169,-39.14
2.25,3.5,1.56,231,82,145,36.1,-0.174,-40.18
0.5,14.0,28.0,231,4,220,1.8,-0.177,-40.98
1.5,7.5,5.0,231,32,192,14.3,-0.177,-40.9
3.0,5.5,1.83,231,74,150,33.0,-0.179,-41.29
1.75,6.0,3.43,231,45,180,20.0,-0.18,-41.64
2.0,5.5,2.75,231,54,171,24.0,-0.18,-41.64
1.5,8.0,5.33,231,30,194,13.4,-0.19,-43.9
4.25,4.5,1.06,231,104,119,46.6,-0.195,-45.03
2.5,6.0,2.4,231,60,165,26.7,-0.213,-49.14
0.75,10.5,14.0,231,10,216,4.4,-0.22,-50.71
1.5,7.0,4.67,231,33,192,14.7,-0.225,-51.9
1.75,6.5,3.71,231,41,184,18.2,-0.226,-52.14
3.25,5.5,1.69,231,77,147,34.4,-0.227,-52.54
2.25,5.5,2.44,231,58,167,25.8,-0.231,-53.39
3.5,5.5,1.57,231,81,143,36.2,-0.231,-53.29
2.5,8.0,3.2,231,47,176,21.1,-0.246,-56.84
1.25,9.0,7.2,231,21,204,9.3,-0.251,-57.91
1.25,9.5,7.6,231,20,205,8.9,-0.252,-58.16
1.75,2.5,1.43,231,80,147,35.2,-0.252,-58.18
1.75,7.5,4.29,231,35,188,15.7,-0.257,-59.34
2.5,7.5,3.0,231,49,174,22.0,-0.261,-60.34
4.5,5.0,1.11,231,100,123,44.8,-0.263,-60.78
1.75,3.0,1.71,231,71,156,31.3,-0.264,-60.93
1.75,8.0,4.57,231,33,190,14.8,-0.266,-61.34
2.5,3.0,1.2,231,92,135,40.5,-0.27,-62.43
2.0,6.0,3.0,231,48,177,21.3,-0.271,-62.64
2.75,5.5,2.0,231,67,158,29.8,-0.271,-62.64
0.75,13.5,18.0,231,7,219,3.1,-0.275,-63.46
2.5,6.5,2.6,231,55,170,24.4,-0.278,-64.14
2.25,6.0,2.67,231,53,172,23.6,-0.284,-65.64
0.75,13.0,17.33,231,7,219,3.1,-0.29,-66.96
1.0,10.5,10.5,231,13,212,5.8,-0.292,-67.41
2.0,2.5,1.25,231,86,141,37.9,-0.294,-67.93
1.5,8.5,5.67,231,26,197,11.7,-0.294,-67.97
2.0,3.0,1.5,231,77,150,33.9,-0.303,-69.93
3.75,5.5,1.47,231,83,141,37.1,-0.305,-70.54
0.75,12.5,16.67,231,7,219,3.1,-0.305,-70.46
1.25,10.0,8.0,231,18,207,8.0,-0.306,-70.66
1.75,7.0,4.0,231,36,188,16.1,-0.311,-71.84
4.75,5.0,1.05,231,102,121,45.7,-0.312,-72.03
2.0,6.5,3.25,231,44,181,19.6,-0.314,-72.64
0.5,1.5,3.0,231,55,166,24.9,-0.314,-72.51
2.5,8.5,3.4,231,43,178,19.5,-0.32,-73.84
0.75,12.0,16.0,231,7,219,3.1,-0.32,-73.96
2.25,3.0,1.33,231,83,144,36.6,-0.329,-75.93
3.0,6.0,2.0,231,66,158,29.5,-0.33,-76.29
0.75,15.0,20.0,231,5,219,2.2,-0.33,-76.23
4.0,5.5,1.38,231,86,137,38.6,-0.331,-76.37
0.75,11.5,15.33,231,7,219,3.1,-0.335,-77.46
2.0,7.5,3.75,231,38,185,17.0,-0.337,-77.84
0.75,14.5,19.33,231,5,219,2.2,-0.341,-78.73
2.0,8.0,4.0,231,36,187,16.1,-0.341,-78.84
2.75,3.0,1.09,231,95,132,41.9,-0.342,-78.93
2.25,2.5,1.11,231,91,136,40.1,-0.344,-79.43
2.5,7.0,2.8,231,50,174,22.3,-0.346,-79.84
0.75,11.0,14.67,231,7,219,3.1,-0.35,-80.96
0.75,1.5,2.0,231,71,152,31.8,-0.351,-81.1
0.75,14.0,18.67,231,5,219,2.2,-0.352,-81.23
