SL %,Target %,Trades,Win Rate %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Total PnL %,Max Drawdown %,Calmar (Tot/|DD|)
1.0,1.5,128,38.3,1.51,-2.02,-0.667,0.47,-83.4,-97.89,-0.85
1.0,2.0,128,32.0,2.0,-1.0,-0.039,0.95,-4.0,-31.0,-0.13
1.0,2.5,128,26.6,2.5,-1.0,-0.07,0.91,-8.0,-49.0,-0.16
1.0,3.0,128,25.0,3.0,-1.0,0.0,1.01,1.0,-46.0,0.02
1.0,3.5,128,25.0,3.5,-1.0,0.125,1.18,17.0,-43.0,0.4
1.0,4.0,128,24.2,4.0,-1.0,0.211,1.29,28.0,-40.0,0.7
1.0,4.5,128,22.7,4.4,-1.0,0.224,1.3,29.73,-37.0,0.8
1.0,5.0,128,21.9,4.88,-1.0,0.287,1.38,37.73,-35.0,1.08
1.0,5.5,128,20.3,5.24,-1.0,0.268,1.35,35.29,-34.0,1.04
1.0,6.0,128,18.8,5.68,-1.0,0.252,1.32,33.29,-40.0,0.83
1.0,6.5,128,18.0,6.12,-1.0,0.28,1.35,36.79,-40.0,0.92
1.0,7.0,128,16.4,6.29,-1.0,0.196,1.25,26.09,-40.0,0.65
1.0,7.5,128,16.4,6.72,-1.0,0.266,1.33,35.09,-40.0,0.88
1.0,8.0,128,15.6,7.1,-1.0,0.266,1.33,35.09,-40.0,0.88
1.0,8.5,128,13.3,7.36,-1.0,0.11,1.14,15.09,-44.7,0.34
1.0,9.0,128,13.3,7.77,-1.0,0.165,1.2,22.09,-43.0,0.51
1.0,9.5,128,12.5,8.1,-1.0,0.137,1.17,18.59,-41.5,0.45
1.0,10.0,128,11.7,8.41,-1.0,0.102,1.13,14.09,-51.0,0.28
1.0,10.5,128,8.6,8.19,-1.0,-0.21,0.78,-25.91,-63.0,-0.41
1.0,11.0,128,7.0,8.01,-1.0,-0.366,0.61,-45.91,-69.0,-0.67
1.0,11.5,128,7.0,8.34,-1.0,-0.343,0.64,-42.91,-68.0,-0.63
1.0,12.0,128,7.0,8.68,-1.0,-0.32,0.66,-39.91,-67.0,-0.6
1.5,2.0,128,43.8,2.0,-1.49,0.035,1.06,6.01,-28.0,0.21
1.5,2.5,128,35.9,2.5,-1.49,-0.058,0.95,-5.99,-56.5,-0.11
1.5,3.0,128,31.2,3.0,-1.49,-0.09,0.92,-9.99,-57.0,-0.18
1.5,3.5,128,31.2,3.5,-1.49,0.067,1.08,10.01,-53.0,0.19
1.5,4.0,128,30.5,4.0,-1.49,0.18,1.19,24.51,-52.0,0.47
1.5,4.5,128,28.1,4.42,-1.49,0.17,1.17,23.24,-51.0,0.46
1.5,5.0,128,26.6,4.9,-1.49,0.205,1.2,27.74,-53.0,0.52
1.5,5.5,128,24.2,5.28,-1.49,0.147,1.14,20.3,-53.0,0.38
1.5,6.0,128,21.9,5.72,-1.49,0.084,1.08,12.3,-64.5,0.19
1.5,6.5,128,21.1,6.18,-1.49,0.123,1.12,17.3,-62.5,0.28
1.5,7.0,128,19.5,6.4,-1.5,0.048,1.05,7.6,-67.0,0.11
1.5,7.5,128,19.5,6.84,-1.5,0.134,1.12,18.6,-64.5,0.29
1.5,8.0,128,18.0,7.22,-1.5,0.071,1.07,10.6,-71.5,0.15
1.5,8.5,128,14.8,7.48,-1.49,-0.156,0.88,-18.47,-88.27,-0.21
1.5,9.0,128,14.1,7.84,-1.49,-0.175,0.87,-20.97,-85.77,-0.24
1.5,9.5,128,14.1,8.26,-1.49,-0.117,0.92,-13.47,-83.27,-0.16
1.5,10.0,128,13.3,8.59,-1.49,-0.148,0.89,-17.47,-92.27,-0.19
1.5,10.5,128,10.2,8.55,-1.49,-0.468,0.66,-58.47,-105.27,-0.56
1.5,11.0,128,8.6,8.55,-1.49,-0.625,0.55,-78.47,-103.77,-0.76
1.5,11.5,128,8.6,8.92,-1.49,-0.593,0.57,-74.47,-102.27,-0.73
1.5,12.0,128,8.6,9.28,-1.49,-0.562,0.59,-70.47,-100.77,-0.7
2.0,2.5,128,40.6,2.45,-1.99,-0.183,0.86,-21.43,-70.5,-0.3
2.0,3.0,128,35.9,2.94,-1.99,-0.218,0.84,-25.93,-76.0,-0.34
2.0,3.5,128,35.2,3.42,-1.99,-0.085,0.95,-8.93,-70.0,-0.13
2.0,4.0,128,34.4,3.91,-1.99,0.04,1.04,7.07,-66.0,0.11
2.0,4.5,128,32.0,4.32,-1.99,0.034,1.04,6.3,-64.5,0.1
2.0,5.0,128,30.5,4.79,-1.99,0.077,1.07,11.8,-67.0,0.18
2.0,5.5,128,28.1,5.16,-1.99,0.022,1.03,4.86,-68.5,0.07
2.0,6.0,128,25.0,5.57,-1.99,-0.099,0.94,-10.64,-88.0,-0.12
2.0,6.5,128,24.2,6.01,-1.99,-0.052,0.98,-4.64,-85.0,-0.05
2.0,7.0,128,22.7,6.25,-1.99,-0.124,0.93,-13.84,-93.0,-0.15
2.0,7.5,128,22.7,6.68,-1.99,-0.026,0.99,-1.34,-89.5,-0.01
2.0,8.0,128,21.1,7.04,-1.99,-0.085,0.96,-8.84,-98.0,-0.09
2.0,8.5,128,18.0,7.29,-1.97,-0.303,0.82,-36.84,-120.7,-0.31
2.0,9.0,128,17.2,7.64,-1.97,-0.315,0.81,-38.34,-117.7,-0.33
2.0,9.5,128,17.2,8.05,-1.97,-0.245,0.86,-29.34,-114.7,-0.26
2.0,10.0,128,16.4,8.39,-1.97,-0.268,0.84,-32.34,-123.7,-0.26
2.0,10.5,128,13.3,8.39,-1.97,-0.592,0.66,-73.84,-137.7,-0.54
2.0,11.0,128,11.7,8.48,-1.97,-0.745,0.58,-93.34,-138.7,-0.67
2.0,11.5,128,11.7,8.84,-1.97,-0.702,0.6,-87.84,-135.2,-0.65
2.0,12.0,128,11.7,9.21,-1.97,-0.659,0.63,-82.34,-131.7,-0.63
2.5,3.0,128,43.0,2.95,-2.48,-0.148,0.91,-16.43,-83.0,-0.2
2.5,3.5,128,42.2,3.44,-2.48,0.016,1.03,4.57,-81.0,0.06
2.5,4.0,128,40.6,3.92,-2.48,0.122,1.1,18.07,-79.5,0.23
2.5,4.5,128,38.3,4.35,-2.48,0.135,1.1,19.8,-78.5,0.25
2.5,5.0,128,36.7,4.83,-2.48,0.202,1.14,28.3,-82.5,0.34
2.5,5.5,128,33.6,5.22,-2.48,0.105,1.08,15.86,-81.5,0.19
2.5,6.0,128,31.2,5.66,-2.48,0.062,1.05,10.36,-97.5,0.11
2.5,6.5,128,29.7,6.1,-2.48,0.065,1.05,10.86,-100.5,0.11
2.5,7.0,128,28.1,6.39,-2.48,0.013,1.02,4.16,-106.5,0.04
