SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
0.5,2.5,5.0,559,85,470,15.3,0.05,27.96
0.5,4.0,8.0,559,63,494,11.3,0.009,5.0
0.5,5.5,11.0,559,46,509,8.3,0.005,2.79
0.5,5.0,10.0,559,50,506,9.0,-0.002,-1.27
0.75,5.5,7.33,559,65,490,11.7,-0.01,-5.71
0.5,4.5,9.0,559,54,502,9.7,-0.011,-6.27
0.75,4.0,5.33,559,86,471,15.4,-0.017,-9.25
0.5,6.0,12.0,559,40,515,7.2,-0.024,-13.21
0.75,5.0,6.67,559,69,487,12.4,-0.033,-18.52
0.75,6.0,8.0,559,58,497,10.5,-0.037,-20.46
0.5,3.5,7.0,559,64,493,11.5,-0.04,-22.5
0.75,3.5,4.67,559,92,465,16.5,-0.048,-26.75
0.75,4.5,6.0,559,74,482,13.3,-0.048,-26.77
0.5,3.0,6.0,559,71,486,12.7,-0.054,-30.0
1.0,4.0,4.0,559,105,452,18.9,-0.057,-32.0
1.0,5.0,5.0,559,87,469,15.6,-0.058,-32.27
1.0,5.5,5.5,559,79,476,14.2,-0.067,-37.21
0.75,2.0,2.67,559,138,419,24.8,-0.068,-38.25
0.75,2.5,3.33,559,116,441,20.8,-0.073,-40.75
1.0,4.5,4.5,559,93,463,16.7,-0.077,-42.77
0.75,3.0,4.0,559,99,458,17.8,-0.083,-46.5
0.5,6.5,13.0,559,32,523,5.8,-0.088,-49.21
1.0,3.5,3.5,559,112,445,20.1,-0.095,-53.0
0.75,1.5,2.0,559,169,377,31.0,-0.103,-57.79
0.5,2.0,4.0,559,102,453,18.4,-0.105,-58.72
0.75,7.5,10.0,559,42,512,7.6,-0.112,-62.71
0.5,7.5,15.0,559,26,528,4.7,-0.112,-62.71
0.75,6.5,8.67,559,48,507,8.6,-0.114,-63.96
0.5,8.0,16.0,559,24,530,4.3,-0.119,-66.71
1.0,6.0,6.0,559,69,486,12.4,-0.121,-67.71
