SL %,Target %,R:R,Total,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %
1.0,4.0,4.0,559,105,452,2,18.9,-0.057,-32.0
1.0,5.0,5.0,559,87,469,3,15.6,-0.058,-32.27
1.0,2.0,2.0,559,160,397,2,28.7,-0.138,-77.0
1.0,3.0,3.0,559,119,438,2,21.4,-0.145,-81.0
4.0,1.5,0.38,559,382,171,6,69.1,-0.209,-116.66
1.0,1.5,1.5,559,195,353,2,35.6,-0.225,-125.72
1.5,4.0,2.67,559,128,428,3,23.0,-0.234,-130.99
4.0,1.0,0.25,559,418,137,4,75.3,-0.237,-132.64
1.5,2.0,1.33,559,199,357,3,35.8,-0.248,-138.49
1.0,7.0,7.0,559,51,503,5,9.2,-0.25,-139.91
1.5,5.0,3.33,559,104,451,4,18.7,-0.279,-155.76
5.0,1.5,0.3,559,401,151,7,72.6,-0.291,-162.51
2.5,1.5,0.6,559,316,238,4,57.0,-0.294,-164.18
3.0,1.5,0.5,559,340,213,5,61.5,-0.311,-173.83
2.0,2.0,1.0,559,234,321,4,42.2,-0.313,-174.93
1.5,3.0,2.0,559,146,410,3,26.3,-0.318,-177.99
2.5,2.0,0.8,559,269,286,4,48.5,-0.318,-177.93
5.0,1.0,0.2,559,433,121,5,78.2,-0.318,-177.99
4.0,2.0,0.5,559,340,213,6,61.5,-0.318,-177.66
1.5,1.5,1.0,559,243,307,3,44.2,-0.324,-181.21
2.0,1.5,0.75,559,278,275,4,50.3,-0.333,-186.2
2.5,1.0,0.4,559,370,183,3,66.9,-0.337,-188.62
4.0,3.0,0.75,559,289,264,6,52.3,-0.348,-194.66
3.0,2.0,0.67,559,294,260,5,53.1,-0.348,-194.58
3.0,1.0,0.33,559,389,163,4,70.5,-0.363,-202.77
2.5,4.0,1.6,559,181,374,4,32.6,-0.379,-211.93
1.0,1.0,1.0,559,243,293,2,45.3,-0.391,-218.43
4.0,4.0,1.0,559,249,304,6,45.0,-0.404,-225.66
3.0,4.0,1.33,559,205,349,5,37.0,-0.411,-229.58
2.0,4.0,2.0,559,146,409,4,26.3,-0.42,-234.93
1.5,1.0,0.67,559,303,245,3,55.3,-0.422,-235.89
5.0,2.0,0.4,559,361,190,8,65.5,-0.429,-239.63
6.0,1.5,0.25,559,410,140,9,74.5,-0.43,-240.43
2.0,1.0,0.5,559,337,214,3,61.2,-0.43,-240.55
2.5,3.0,1.2,559,208,347,4,37.5,-0.437,-244.43
6.0,1.0,0.17,559,439,114,6,79.4,-0.454,-253.86
2.0,3.0,1.5,559,171,384,4,30.8,-0.458,-255.93
2.0,5.0,2.5,559,121,433,5,21.8,-0.465,-260.2
3.0,3.0,1.0,559,234,320,5,42.2,-0.466,-260.58
5.0,3.0,0.6,559,313,238,8,56.8,-0.47,-262.63
2.5,5.0,2.0,559,149,405,5,26.9,-0.477,-266.7
1.5,7.0,4.67,559,64,489,6,11.6,-0.502,-280.4
1.0,10.0,10.0,559,24,529,6,4.3,-0.503,-280.91
3.0,5.0,1.67,559,170,383,6,30.7,-0.536,-299.85
6.0,2.0,0.33,559,376,173,10,68.5,-0.544,-304.05
8.0,1.0,0.12,559,457,96,6,82.6,-0.572,-319.86
5.0,4.0,0.8,559,270,281,8,49.0,-0.602,-336.63
4.0,5.0,1.25,559,207,345,7,37.5,-0.624,-348.93
8.0,1.5,0.19,559,428,121,10,78.0,-0.624,-348.54
1.0,15.0,15.0,559,9,542,8,1.6,-0.702,-392.18
6.0,3.0,0.5,559,322,226,11,58.8,-0.735,-410.78
2.0,7.0,3.5,559,75,477,7,13.6,-0.758,-423.84
1.5,10.0,6.67,559,32,518,9,5.8,-0.807,-450.86
2.5,7.0,2.8,559,96,456,7,17.4,-0.828,-462.84
8.0,2.0,0.25,559,394,152,13,72.2,-0.834,-466.22
5.0,5.0,1.0,559,223,325,11,40.7,-0.945,-528.1
1.5,15.0,10.0,559,17,531,11,3.1,-0.946,-528.63
3.0,7.0,2.33,559,111,440,8,20.1,-0.965,-539.49
2.0,10.0,5.0,559,44,503,12,8.0,-1.005,-561.66
6.0,4.0,0.67,559,273,275,11,49.8,-1.035,-578.78
2.5,10.0,4.0,559,60,485,14,11.0,-1.076,-601.39
2.5,15.0,6.0,559,40,500,19,7.4,-1.091,-610.05
2.0,15.0,7.5,559,27,517,15,5.0,-1.092,-610.51
4.0,7.0,1.75,559,141,408,10,25.7,-1.157,-646.86
8.0,3.0,0.38,559,338,206,15,62.1,-1.218,-680.92
4.0,15.0,3.75,559,69,458,32,13.1,-1.301,-727.1
