Timeframe,EMA Pair,SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1d,EMA10/EMA20,1.0,4.0,4.0,229,45,183,19.7,-0.013,-3.0
1d,EMA10/EMA20,1.0,5.0,5.0,229,37,191,16.2,-0.026,-6.0
1d,EMA10/EMA20,1.0,4.5,4.5,229,40,188,17.5,-0.035,-8.0
1d,EMA10/EMA20,1.0,3.5,3.5,229,48,180,21.1,-0.052,-12.0
1d,EMA10/EMA20,1.0,2.5,2.5,229,59,169,25.9,-0.094,-21.5
1d,EMA10/EMA20,1.0,5.5,5.5,229,31,197,13.6,-0.116,-26.5
1d,EMA10/EMA20,1.0,3.0,3.0,229,50,178,21.9,-0.122,-28.0
1d,EMA10/EMA20,1.5,4.0,2.67,229,57,171,25.0,-0.124,-28.5
1d,EMA10/EMA20,1.0,2.0,2.0,229,66,162,28.9,-0.131,-30.0
1d,EMA10/EMA20,3.5,4.0,1.14,229,102,126,44.7,-0.144,-33.0
1d,EMA10/EMA20,1.5,4.5,3.0,229,51,177,22.4,-0.157,-36.0
1d,EMA10/EMA20,1.5,3.5,2.33,229,61,167,26.8,-0.162,-37.0
1d,EMA10/EMA20,1.5,2.0,1.33,229,87,141,38.2,-0.164,-37.5
1d,EMA10/EMA20,1.0,6.0,6.0,229,27,201,11.8,-0.17,-39.0
1d,EMA10/EMA20,1.5,2.5,1.67,229,75,153,32.9,-0.183,-42.0
1d,EMA10/EMA20,1.5,5.0,3.33,229,46,182,20.2,-0.188,-43.0
1d,EMA10/EMA20,1.5,3.0,2.0,229,65,163,28.5,-0.216,-49.5
1d,EMA10/EMA20,2.0,2.5,1.25,229,90,138,39.5,-0.223,-51.0
1d,EMA10/EMA20,2.5,3.0,1.2,229,93,135,40.8,-0.255,-58.5
1d,EMA10/EMA20,2.5,4.0,1.6,229,78,150,34.2,-0.275,-63.0
1d,EMA10/EMA20,2.0,3.0,1.5,229,78,150,34.2,-0.288,-66.0
1d,EMA10/EMA20,2.0,4.0,2.0,229,65,163,28.5,-0.288,-66.0
1d,EMA10/EMA20,1.0,7.5,7.5,229,19,209,8.3,-0.29,-66.5
1d,EMA10/EMA20,1.0,6.5,6.5,229,21,207,9.2,-0.308,-70.5
1d,EMA10/EMA20,2.0,4.5,2.25,229,59,169,25.9,-0.317,-72.5
1d,EMA10/EMA20,1.0,8.0,8.0,229,17,211,7.5,-0.328,-75.0
1d,EMA10/EMA20,1.0,8.5,8.5,229,16,212,7.0,-0.332,-76.0
1d,EMA10/EMA20,1.0,7.0,7.0,229,19,209,8.3,-0.332,-76.0
1d,EMA10/EMA20,2.0,3.5,1.75,229,69,159,30.3,-0.334,-76.5
1d,EMA10/EMA20,2.5,3.5,1.4,229,82,146,36.0,-0.341,-78.0
1d,EMA10/EMA20,2.0,5.0,2.5,229,53,175,23.2,-0.371,-85.0
1d,EMA10/EMA20,2.5,4.5,1.8,229,69,159,30.3,-0.38,-87.0
1d,EMA10/EMA20,1.0,1.5,1.5,229,76,148,33.9,-0.39,-89.38
1d,EMA10/EMA20,4.0,5.0,1.25,229,91,137,39.9,-0.406,-93.0
1d,EMA10/EMA20,1.5,5.5,3.67,229,35,193,15.4,-0.424,-97.0
1d,EMA10/EMA20,2.5,5.0,2.0,229,63,165,27.6,-0.426,-97.5
