SL %,Target %,Trades,Win Rate %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Total PnL %,Max Drawdown %,Calmar (Tot/|DD|)
1.0,1.5,559,36.0,1.73,-1.33,-0.23,0.73,-125.72,-185.26,-0.68
1.0,2.0,559,28.6,2.0,-1.0,-0.141,0.81,-77.0,-105.0,-0.73
1.0,2.5,559,24.5,2.5,-1.0,-0.142,0.82,-77.5,-129.5,-0.6
1.0,3.0,559,21.3,3.0,-1.0,-0.148,0.82,-81.0,-142.0,-0.57
1.0,3.5,559,20.0,3.5,-1.0,-0.098,0.88,-53.0,-138.5,-0.38
1.0,4.0,559,18.8,4.0,-1.0,-0.061,0.93,-32.0,-129.0,-0.25
1.0,4.5,559,16.8,4.47,-1.0,-0.08,0.91,-42.77,-147.0,-0.29
1.0,5.0,559,15.7,4.96,-1.0,-0.061,0.93,-32.27,-146.0,-0.22
1.0,5.5,559,14.5,5.42,-1.0,-0.07,0.92,-37.21,-140.0,-0.27
1.0,6.0,559,12.7,5.89,-1.0,-0.125,0.86,-67.71,-162.0,-0.42
1.0,6.5,559,10.6,6.35,-1.0,-0.224,0.75,-123.21,-175.0,-0.7
1.0,7.0,559,9.7,6.72,-1.0,-0.254,0.72,-139.91,-182.2,-0.77
1.0,7.5,559,9.7,7.09,-1.0,-0.218,0.76,-119.91,-178.7,-0.67
1.0,8.0,559,8.8,7.51,-1.0,-0.254,0.72,-139.91,-197.2,-0.71
1.0,8.5,559,7.7,7.9,-1.0,-0.316,0.66,-174.41,-243.2,-0.72
1.0,9.0,559,6.1,8.18,-1.0,-0.442,0.53,-244.91,-277.2,-0.88
1.0,9.5,559,5.5,8.54,-1.0,-0.471,0.5,-261.41,-295.2,-0.89
1.0,10.0,559,5.0,8.86,-1.0,-0.506,0.47,-280.91,-317.2,-0.89
1.0,10.5,559,3.9,8.96,-1.0,-0.608,0.37,-337.91,-358.7,-0.94
1.0,11.0,559,3.4,9.11,-1.0,-0.656,0.32,-364.91,-387.2,-0.94
1.0,11.5,559,3.4,9.5,-1.0,-0.643,0.34,-357.41,-381.2,-0.94
1.0,12.0,559,3.2,9.78,-1.0,-0.653,0.33,-362.91,-388.2,-0.93
1.5,2.0,559,35.6,2.0,-1.5,-0.253,0.74,-138.49,-165.99,-0.83
1.5,2.5,559,29.7,2.5,-1.5,-0.311,0.71,-170.99,-194.49,-0.88
1.5,3.0,559,26.1,3.0,-1.5,-0.324,0.71,-177.99,-199.5,-0.89
1.5,3.5,559,24.5,3.5,-1.5,-0.274,0.76,-149.99,-203.5,-0.74
1.5,4.0,559,22.9,4.0,-1.5,-0.24,0.8,-130.99,-190.0,-0.69
1.5,4.5,559,21.1,4.48,-1.5,-0.237,0.8,-129.76,-214.5,-0.6
