SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.5,1.0,2.0,141,42,84,0,33.3,-1.25,-176.31,2.13,-2.94,-1.25,0.36,-211.13,-0.84
0.5,1.5,3.0,141,33,101,0,24.6,-0.381,-53.71,2.29,-1.3,-0.381,0.61,-89.53,-0.6
0.5,2.0,4.0,141,28,112,0,20.0,-0.273,-38.52,2.0,-0.84,-0.273,0.59,-50.02,-0.77
0.5,2.5,5.0,141,26,114,0,18.6,0.236,33.23,3.34,-0.5,0.236,1.58,-16.0,2.08
0.5,3.0,6.0,141,21,120,0,14.9,0.021,3.0,3.0,-0.5,0.021,1.05,-18.5,0.16
0.5,3.5,7.0,141,19,122,0,13.5,0.039,5.5,3.5,-0.5,0.039,1.09,-18.0,0.31
0.5,4.0,8.0,141,19,122,0,13.5,0.106,15.0,4.0,-0.5,0.106,1.25,-17.5,0.86
0.5,4.5,9.0,141,18,123,0,12.8,0.138,19.5,4.5,-0.5,0.138,1.32,-22.0,0.89
0.5,5.0,10.0,141,17,124,0,12.1,0.163,23.0,5.0,-0.5,0.163,1.37,-22.0,1.05
0.5,5.5,11.0,141,17,124,0,12.1,0.223,31.5,5.5,-0.5,0.223,1.51,-22.0,1.43
0.5,6.0,12.0,141,16,125,0,11.3,0.238,33.5,6.0,-0.5,0.238,1.54,-22.0,1.52
0.5,6.5,13.0,141,13,128,0,9.2,0.145,20.5,6.5,-0.5,0.145,1.32,-22.0,0.93
0.5,7.0,14.0,141,11,130,0,7.8,0.085,12.0,7.0,-0.5,0.085,1.18,-22.0,0.55
0.5,7.5,15.0,141,11,130,0,7.8,0.124,17.5,7.5,-0.5,0.124,1.27,-22.0,0.8
0.5,8.0,16.0,141,10,131,0,7.1,0.103,14.5,8.0,-0.5,0.103,1.22,-22.0,0.66
0.5,8.5,17.0,141,8,133,0,5.7,0.011,1.5,8.5,-0.5,0.011,1.02,-33.0,0.05
0.5,9.0,18.0,141,7,134,0,5.0,-0.028,-4.0,9.0,-0.5,-0.028,0.94,-42.0,-0.1
0.5,9.5,19.0,141,6,135,0,4.3,-0.074,-10.5,9.5,-0.5,-0.074,0.84,-42.5,-0.25
0.5,10.0,20.0,141,6,135,0,4.3,-0.053,-7.5,10.0,-0.5,-0.053,0.89,-42.5,-0.18
0.5,10.5,21.0,141,5,136,0,3.5,-0.11,-15.5,10.5,-0.5,-0.11,0.77,-42.5,-0.36
0.5,11.0,22.0,141,4,137,0,2.8,-0.174,-24.5,11.0,-0.5,-0.174,0.64,-42.5,-0.58
0.5,11.5,23.0,141,4,137,0,2.8,-0.16,-22.5,11.5,-0.5,-0.16,0.67,-42.5,-0.53
0.5,12.0,24.0,141,4,137,0,2.8,-0.145,-20.5,12.0,-0.5,-0.145,0.7,-42.5,-0.48
0.5,12.5,25.0,141,4,137,0,2.8,-0.131,-18.5,12.5,-0.5,-0.131,0.73,-42.5,-0.44
0.5,13.0,26.0,141,4,137,0,2.8,-0.117,-16.5,13.0,-0.5,-0.117,0.76,-42.5,-0.39
0.5,13.5,27.0,141,4,137,0,2.8,-0.103,-14.5,13.5,-0.5,-0.103,0.79,-42.5,-0.34
