SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.5,1.0,2.0,128,37,90,0,29.1,-0.049,-6.22,1.02,-0.5,-0.049,0.86,-7.22,-0.86
0.5,1.5,3.0,128,29,97,0,23.0,-0.01,-1.28,1.52,-0.5,-0.01,0.97,-11.28,-0.11
0.5,2.0,4.0,128,19,108,0,15.0,-0.107,-13.7,2.01,-0.5,-0.107,0.75,-23.2,-0.59
0.5,2.5,5.0,128,13,115,0,10.2,-0.195,-25.0,2.5,-0.5,-0.195,0.57,-35.0,-0.71
0.5,3.0,6.0,128,12,116,0,9.4,-0.172,-22.0,3.0,-0.5,-0.172,0.62,-34.5,-0.64
0.5,3.5,7.0,128,11,117,0,8.6,-0.156,-20.0,3.5,-0.5,-0.156,0.66,-34.0,-0.59
0.5,4.0,8.0,128,11,117,0,8.6,-0.113,-14.5,4.0,-0.5,-0.113,0.75,-33.5,-0.43
0.5,4.5,9.0,128,8,119,1,6.3,-0.17,-21.77,4.19,-0.5,-0.17,0.63,-33.0,-0.66
0.5,5.0,10.0,128,7,120,1,5.5,-0.182,-23.27,4.59,-0.5,-0.182,0.61,-32.5,-0.72
0.5,5.5,11.0,128,7,120,1,5.5,-0.154,-19.77,5.03,-0.5,-0.154,0.67,-32.0,-0.62
0.5,6.0,12.0,128,5,122,1,3.9,-0.229,-29.27,5.29,-0.5,-0.229,0.52,-38.0,-0.77
0.5,6.5,13.0,128,5,122,1,3.9,-0.209,-26.77,5.7,-0.5,-0.209,0.56,-38.0,-0.7
0.5,7.0,14.0,128,4,123,1,3.1,-0.248,-31.77,5.95,-0.5,-0.248,0.48,-38.0,-0.84
0.5,7.5,15.0,128,3,123,2,2.4,-0.276,-35.27,5.25,-0.5,-0.276,0.43,-38.0,-0.93
0.5,8.0,16.0,128,3,123,2,2.4,-0.264,-33.77,5.55,-0.5,-0.264,0.45,-38.0,-0.89
0.5,8.5,17.0,128,2,124,2,1.6,-0.322,-41.27,5.18,-0.5,-0.322,0.33,-40.77,-1.01
0.5,9.0,18.0,128,2,124,2,1.6,-0.315,-40.27,5.43,-0.5,-0.315,0.35,-40.5,-0.99
0.5,9.5,19.0,128,2,124,2,1.6,-0.307,-39.27,5.68,-0.5,-0.307,0.37,-40.5,-0.97
0.5,10.0,20.0,128,2,124,2,1.6,-0.299,-38.27,5.93,-0.5,-0.299,0.38,-40.5,-0.94
0.5,10.5,21.0,128,2,124,2,1.6,-0.291,-37.27,6.18,-0.5,-0.291,0.4,-40.5,-0.92
0.5,11.0,22.0,128,2,124,2,1.6,-0.283,-36.27,6.43,-0.5,-0.283,0.42,-40.5,-0.9
0.5,11.5,23.0,128,2,124,2,1.6,-0.276,-35.27,6.68,-0.5,-0.276,0.43,-40.5,-0.87
0.5,12.0,24.0,128,2,124,2,1.6,-0.268,-34.27,6.93,-0.5,-0.268,0.45,-40.5,-0.85
0.5,12.5,25.0,128,2,124,2,1.6,-0.26,-33.27,7.18,-0.5,-0.26,0.46,-40.5,-0.82
0.5,13.0,26.0,128,2,124,2,1.6,-0.252,-32.27,7.43,-0.5,-0.252,0.48,-40.5,-0.8
0.5,13.5,27.0,128,2,124,2,1.6,-0.244,-31.27,7.68,-0.5,-0.244,0.5,-40.5,-0.77
0.5,14.0,28.0,128,0,124,4,0.0,-0.403,-51.54,2.62,-0.5,-0.403,0.17,-51.04,-1.01
0.5,14.5,29.0,128,0,124,4,0.0,-0.403,-51.54,2.62,-0.5,-0.403,0.17,-51.04,-1.01
0.5,15.0,30.0,128,0,124,4,0.0,-0.403,-51.54,2.62,-0.5,-0.403,0.17,-51.04,-1.01
0.75,1.0,1.33,128,44,82,0,34.9,-0.111,-14.16,1.03,-0.75,-0.111,0.77,-14.16,-1.0
0.75,1.5,2.0,128,35,92,0,27.6,-0.115,-14.72,1.51,-0.75,-0.115,0.79,-18.47,-0.8
0.75,2.0,2.67,128,25,103,0,19.5,-0.213,-27.25,2.0,-0.75,-0.213,0.65,-29.5,-0.92
0.75,2.5,3.33,128,18,110,0,14.1,-0.293,-37.5,2.5,-0.75,-0.293,0.55,-41.5,-0.9
0.75,3.0,4.0,128,16,112,0,12.5,-0.281,-36.0,3.0,-0.75,-0.281,0.57,-40.5,-0.89
0.75,3.5,4.67,128,14,114,0,10.9,-0.285,-36.5,3.5,-0.75,-0.285,0.57,-40.0,-0.91
0.75,4.0,5.33,128,14,114,0,10.9,-0.23,-29.5,4.0,-0.75,-0.23,0.65,-38.5,-0.77
0.75,4.5,6.0,128,11,116,1,8.7,-0.279,-35.77,4.27,-0.75,-0.279,0.59,-37.5,-0.95
0.75,5.0,6.67,128,10,117,1,7.9,-0.281,-36.02,4.7,-0.75,-0.281,0.59,-36.5,-0.99
0.75,5.5,7.33,128,10,117,1,7.9,-0.242,-31.02,5.16,-0.75,-0.242,0.65,-35.5,-0.87
0.75,6.0,8.0,128,7,120,1,5.5,-0.361,-46.27,5.47,-0.75,-0.361,0.49,-48.0,-0.96
0.75,6.5,8.67,128,7,120,1,5.5,-0.334,-42.77,5.9,-0.75,-0.334,0.52,-48.0,-0.89
0.75,7.0,9.33,128,6,121,1,4.7,-0.367,-47.02,6.25,-0.75,-0.367,0.48,-48.0,-0.98
0.75,7.5,10.0,128,5,121,2,4.0,-0.387,-49.52,5.89,-0.75,-0.387,0.45,-48.77,-1.02
0.75,8.0,10.67,128,5,121,2,4.0,-0.367,-47.02,6.25,-0.75,-0.367,0.48,-48.0,-0.98
0.75,8.5,11.33,128,4,122,2,3.2,-0.42,-53.77,6.29,-0.75,-0.42,0.41,-53.02,-1.01
0.75,9.0,12.0,128,4,122,2,3.2,-0.404,-51.77,6.62,-0.75,-0.404,0.43,-51.02,-1.01
0.75,9.5,12.67,128,4,122,2,3.2,-0.389,-49.77,6.95,-0.75,-0.389,0.46,-49.02,-1.02
0.75,10.0,13.33,128,3,123,2,2.4,-0.457,-58.52,6.75,-0.75,-0.457,0.37,-57.77,-1.01
0.75,10.5,14.0,128,2,124,2,1.6,-0.533,-68.27,6.18,-0.75,-0.533,0.27,-67.52,-1.01
0.75,11.0,14.67,128,2,124,2,1.6,-0.526,-67.27,6.43,-0.75,-0.526,0.28,-66.52,-1.01
0.75,11.5,15.33,128,2,124,2,1.6,-0.518,-66.27,6.68,-0.75,-0.518,0.29,-65.52,-1.01
0.75,12.0,16.0,128,2,124,2,1.6,-0.51,-65.27,6.93,-0.75,-0.51,0.3,-64.52,-1.01
0.75,12.5,16.67,128,2,124,2,1.6,-0.502,-64.27,7.18,-0.75,-0.502,0.31,-63.52,-1.01
0.75,13.0,17.33,128,2,124,2,1.6,-0.494,-63.27,7.43,-0.75,-0.494,0.32,-62.52,-1.01
0.75,13.5,18.0,128,2,124,2,1.6,-0.486,-62.27,7.68,-0.75,-0.486,0.33,-61.52,-1.01
0.75,14.0,18.67,128,0,124,4,0.0,-0.645,-82.54,2.62,-0.75,-0.645,0.11,-81.79,-1.01
0.75,14.5,19.33,128,0,124,4,0.0,-0.645,-82.54,2.62,-0.75,-0.645,0.11,-81.79,-1.01
0.75,15.0,20.0,128,0,124,4,0.0,-0.645,-82.54,2.62,-0.75,-0.645,0.11,-81.79,-1.01
