SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.5,1.5,3.0,128,29,97,0,23.0,-0.01,-1.28,1.52,-0.5,-0.01,0.97,-11.28,-0.11
0.5,1.0,2.0,128,37,90,0,29.1,-0.049,-6.22,1.02,-0.5,-0.049,0.86,-7.22,-0.86
0.5,2.0,4.0,128,19,108,0,15.0,-0.107,-13.7,2.01,-0.5,-0.107,0.75,-23.2,-0.59
0.75,1.0,1.33,128,44,82,0,34.9,-0.111,-14.16,1.03,-0.75,-0.111,0.77,-14.16,-1.0
0.5,4.0,8.0,128,11,117,0,8.6,-0.113,-14.5,4.0,-0.5,-0.113,0.75,-33.5,-0.43
0.75,1.5,2.0,128,35,92,0,27.6,-0.115,-14.72,1.51,-0.75,-0.115,0.79,-18.47,-0.8
0.5,5.5,11.0,128,7,120,1,5.5,-0.154,-19.77,5.03,-0.5,-0.154,0.67,-32.0,-0.62
0.5,3.5,7.0,128,11,117,0,8.6,-0.156,-20.0,3.5,-0.5,-0.156,0.66,-34.0,-0.59
0.5,4.5,9.0,128,8,119,1,6.3,-0.17,-21.77,4.19,-0.5,-0.17,0.63,-33.0,-0.66
0.5,3.0,6.0,128,12,116,0,9.4,-0.172,-22.0,3.0,-0.5,-0.172,0.62,-34.5,-0.64
0.5,5.0,10.0,128,7,120,1,5.5,-0.182,-23.27,4.59,-0.5,-0.182,0.61,-32.5,-0.72
0.5,2.5,5.0,128,13,115,0,10.2,-0.195,-25.0,2.5,-0.5,-0.195,0.57,-35.0,-0.71
0.5,6.5,13.0,128,5,122,1,3.9,-0.209,-26.77,5.7,-0.5,-0.209,0.56,-38.0,-0.7
0.75,2.0,2.67,128,25,103,0,19.5,-0.213,-27.25,2.0,-0.75,-0.213,0.65,-29.5,-0.92
1.0,1.5,1.5,128,39,88,0,30.7,-0.217,-27.72,1.51,-1.0,-0.217,0.68,-26.72,-1.04
