SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.5,2.5,5.0,229,36,191,1,15.9,0.086,19.73,3.11,-0.5,0.084,1.21,-15.5,1.27
0.5,4.0,8.0,229,25,203,1,11.0,-0.007,-1.5,4.0,-0.5,-0.009,0.99,-24.0,-0.06
1.0,4.0,4.0,229,45,183,1,19.7,-0.013,-3.0,4.0,-1.0,-0.017,0.98,-39.0,-0.08
0.5,5.0,10.0,229,20,208,1,8.8,-0.017,-4.0,5.0,-0.5,-0.02,0.96,-27.0,-0.15
0.5,4.5,9.0,229,22,206,1,9.6,-0.017,-4.0,4.5,-0.5,-0.02,0.96,-30.0,-0.13
1.0,5.0,5.0,229,37,191,1,16.2,-0.026,-6.0,5.0,-1.0,-0.031,0.97,-42.0,-0.14
1.0,4.5,4.5,229,40,188,1,17.5,-0.035,-8.0,4.5,-1.0,-0.039,0.96,-43.0,-0.19
0.75,4.0,5.33,229,34,194,1,14.9,-0.041,-9.5,4.0,-0.75,-0.045,0.93,-33.0,-0.29
0.5,2.0,4.0,229,41,187,1,18.0,-0.05,-11.5,2.0,-0.5,-0.052,0.88,-22.5,-0.51
0.5,5.5,11.0,229,17,211,1,7.5,-0.052,-12.0,5.5,-0.5,-0.055,0.89,-30.5,-0.39
1.0,3.5,3.5,229,48,180,1,21.1,-0.052,-12.0,3.5,-1.0,-0.057,0.93,-43.5,-0.28
0.5,3.5,7.0,229,25,203,1,11.0,-0.061,-14.0,3.5,-0.5,-0.063,0.86,-28.0,-0.5
0.75,5.0,6.67,229,27,201,1,11.8,-0.069,-15.75,5.0,-0.75,-0.072,0.9,-38.25,-0.41
0.5,3.0,6.0,229,28,200,1,12.3,-0.07,-16.0,3.0,-0.5,-0.072,0.84,-25.0,-0.64
0.75,3.5,4.67,229,36,192,1,15.8,-0.079,-18.0,3.5,-0.75,-0.082,0.88,-39.0,-0.46
