SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.75,6.0,8.0,141,25,116,0,17.7,0.447,63.0,6.0,-0.75,0.447,1.72,-33.0,1.91
1.0,6.0,6.0,141,29,112,0,20.6,0.44,62.0,6.0,-1.0,0.44,1.55,-37.0,1.68
3.5,4.0,1.14,141,74,67,0,52.5,0.436,61.5,4.0,-3.5,0.436,1.26,-59.5,1.03
1.0,5.5,5.5,141,31,110,0,22.0,0.429,60.5,5.5,-1.0,0.429,1.55,-37.5,1.61
0.75,5.5,7.33,141,26,115,0,18.4,0.402,56.75,5.5,-0.75,0.402,1.66,-33.0,1.72
1.0,7.5,7.5,141,23,118,0,16.3,0.387,54.5,7.5,-1.0,0.387,1.46,-35.5,1.54
3.75,4.0,1.07,141,75,66,0,53.2,0.372,52.5,4.0,-3.75,0.372,1.21,-65.75,0.8
0.75,7.5,10.0,141,19,122,0,13.5,0.362,51.0,7.5,-0.75,0.362,1.56,-33.0,1.55
1.0,5.0,5.0,141,32,109,0,22.7,0.362,51.0,5.0,-1.0,0.362,1.47,-38.0,1.34
1.25,6.0,4.8,141,31,110,0,22.0,0.344,48.5,6.0,-1.25,0.344,1.35,-47.75,1.02
0.75,6.5,8.67,141,21,120,0,14.9,0.33,46.5,6.5,-0.75,0.33,1.52,-33.0,1.41
1.0,6.5,6.5,141,25,116,0,17.7,0.33,46.5,6.5,-1.0,0.33,1.4,-36.5,1.27
1.25,5.5,4.4,141,33,108,0,23.4,0.33,46.5,5.5,-1.25,0.33,1.34,-48.25,0.96
4.0,14.5,3.62,141,33,108,0,23.4,0.33,46.5,14.5,-4.0,0.33,1.11,-246.0,0.19
3.5,14.5,4.14,141,30,111,0,21.3,0.33,46.5,14.5,-3.5,0.33,1.12,-226.0,0.21
