SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
0.5,1.5,3.0,61,20,39,1,33.9,0.201,12.28,1.51,-0.5,0.193,1.63,-3.0,4.09
0.75,1.5,2.0,61,24,35,1,40.7,0.189,11.53,1.51,-0.75,0.177,1.44,-5.25,2.2
0.75,1.0,1.33,61,30,29,1,50.8,0.164,10.03,1.03,-0.75,0.152,1.46,-5.5,1.82
0.5,1.0,2.0,61,25,34,1,42.4,0.16,9.78,1.03,-0.5,0.152,1.58,-3.0,3.26
1.0,1.5,1.5,61,26,33,1,44.1,0.128,7.78,1.51,-1.0,0.111,1.24,-8.22,0.95
0.5,3.5,7.0,61,9,51,1,15.0,0.098,6.0,3.5,-0.5,0.09,1.24,-17.0,0.35
0.5,4.0,8.0,61,8,52,1,13.3,0.098,6.0,4.0,-0.5,0.09,1.23,-17.0,0.35
0.5,6.0,12.0,61,5,54,2,8.5,0.091,5.56,5.43,-0.5,0.083,1.21,-17.0,0.33
0.5,2.0,4.0,61,14,46,1,23.3,0.082,5.0,2.0,-0.5,0.074,1.22,-7.0,0.71
0.5,3.0,6.0,61,10,50,1,16.7,0.082,5.0,3.0,-0.5,0.074,1.2,-17.0,0.29
0.5,5.5,11.0,61,5,54,2,8.5,0.05,3.06,5.01,-0.5,0.042,1.11,-17.0,0.18
0.5,5.0,10.0,61,6,54,1,10.0,0.049,3.0,5.0,-0.5,0.041,1.11,-17.0,0.18
1.25,1.5,1.2,61,28,32,1,46.7,0.033,2.0,1.5,-1.25,0.012,1.05,-10.5,0.19
0.5,2.5,5.0,61,10,50,1,16.7,0.0,0.0,2.5,-0.5,-0.008,1.0,-17.0,0.0
0.5,4.5,9.0,61,6,54,1,10.0,0.0,0.0,4.5,-0.5,-0.008,1.0,-17.0,0.0
