Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,,,At/Below Slow EMA,1,983.41,982.87,987.15,982.21,1011.83,SL HIT,2024-01-08 00:00:00,Not Hit,998.3,-0.5,2d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-05 00:00:00,988.0,998.3,983.8,993.7,,,At/Below Slow EMA,2,985.28,983.9,993.7,988.73,1018.54,SL HIT,2024-01-08 00:00:00,Not Hit,998.2,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-10 00:00:00,974.3,994.95,974.3,993.05,,,At/Below Slow EMA,5,985.47,984.27,993.05,988.08,1017.88,SL HIT,2024-01-11 00:00:00,Not Hit,998.5,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-19 00:00:00,991.3,1010.9,987.55,999.2,,,At/Below Slow EMA,12,993.49,990.52,999.2,994.2,1024.18,TARGET HIT,Not Hit,2024-01-23 00:00:00,1059.4,2.5,2d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-20 00:00:00,1005.95,1014.7,995.3,1008.7,,,Between Slow & Fast EMA,13,996.26,992.25,1008.7,1003.66,1033.92,TARGET HIT,Not Hit,2024-01-23 00:00:00,1059.4,2.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-25 00:00:00,998.4,1015.1,988.15,1009.95,,,At/Below Slow EMA,16,1003.18,997.41,1009.95,1004.9,1035.2,AMBIGUOUS (same candle),2024-01-31 00:00:00,2024-01-31 00:00:00,1039.0,25.23,564d
RELIANCE,1d,EMA10/EMA20,2024-01-11 00:00:00,2024-01-25 00:00:00,1342.95,1364.15,1335.2,1353.08,,,At/Below Slow EMA,10,1349.44,1340.2,1353.08,1346.31,1386.91,TARGET HIT,Not Hit,2024-01-29 00:00:00,1452.5,2.5,1d
RELIANCE,1d,EMA10/EMA20,2024-01-11 00:00:00,2024-01-29 00:00:00,1364.5,1452.5,1360.17,1448.05,,,Between Slow & Fast EMA,11,1367.37,1350.47,1448.05,1440.81,1484.25,SL HIT,2024-01-30 00:00:00,Not Hit,1459.97,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-31 00:00:00,1016.8,1039.0,1003.25,1028.15,,,At/Below Slow EMA,19,1011.37,1003.5,1028.15,1023.01,1053.85,SL HIT,2024-02-01 00:00:00,Not Hit,1033.95,-0.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-01-31 00:00:00,1648.25,1667.25,1638.1,1660.9,,,Between Slow & Fast EMA,12,1645.58,1618.04,1660.9,1652.6,1702.42,SL HIT,2024-02-01 00:00:00,Not Hit,1677.0,-0.5,1d
TCS,1d,EMA10/EMA20,2024-01-15 00:00:00,2024-02-01 00:00:00,3820.0,3904.9,3805.05,3854.15,,,At/Below Slow EMA,12,3831.82,3821.83,3854.15,3834.88,3950.5,TARGET HIT,Not Hit,2024-02-02 00:00:00,3984.4,2.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-02-05 00:00:00,1022.5,1026.45,1012.1,1023.5,,,Between Slow & Fast EMA,22,1017.13,1008.86,1023.5,1018.38,1049.09,SL HIT,2024-02-06 00:00:00,Not Hit,1034.9,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-02-06 00:00:00,1023.55,1034.9,1016.7,1026.4,,,Between Slow & Fast EMA,23,1018.82,1010.53,1026.4,1021.27,1052.06,SL HIT,2024-02-07 00:00:00,Not Hit,1031.55,-0.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-02-06 00:00:00,1686.75,1733.0,1673.95,1729.45,,,Between Slow & Fast EMA,16,1673.98,1643.23,1729.45,1720.8,1772.69,SL HIT,2024-02-07 00:00:00,Not Hit,1729.0,-0.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-02-12 00:00:00,1670.35,1692.95,1670.35,1680.1,,,Between Slow & Fast EMA,20,1678.58,1656.37,1680.1,1671.7,1722.1,SL HIT,2024-02-13 00:00:00,Not Hit,1689.1,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-02-13 00:00:00,1006.0,1027.05,1000.3,1019.8,,,At/Below Slow EMA,28,1011.96,1009.42,1019.8,1014.7,1045.29,SL HIT,2024-02-14 00:00:00,Not Hit,1035.7,-0.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-02-13 00:00:00,1683.0,1689.1,1663.5,1684.55,,,Between Slow & Fast EMA,21,1679.66,1659.05,1684.55,1676.13,1726.66,SL HIT,2024-02-14 00:00:00,Not Hit,1669.45,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-02-14 00:00:00,1009.55,1035.7,1007.55,1022.7,,,At/Below Slow EMA,29,1013.91,1010.69,1022.7,1017.59,1048.27,SL HIT,2024-02-15 00:00:00,Not Hit,1026.65,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2024-01-11 00:00:00,2024-02-19 00:00:00,1462.05,1479.5,1453.53,1474.0,,,Between Slow & Fast EMA,26,1457.25,1432.9,1474.0,1466.63,1510.85,SL HIT,2024-02-20 00:00:00,Not Hit,1475.5,-0.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-02-20 00:00:00,1685.0,1694.25,1668.75,1685.25,,,At/Below Slow EMA,26,1684.92,1670.05,1685.25,1676.82,1727.38,SL HIT,2024-02-21 00:00:00,Not Hit,1674.0,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2024-01-11 00:00:00,2024-02-22 00:00:00,1468.15,1484.95,1458.0,1481.75,,,Between Slow & Fast EMA,29,1464.94,1443.52,1481.75,1474.34,1518.79,SL HIT,2024-02-28 00:00:00,Not Hit,1499.95,-0.5,4d
TCS,1d,EMA10/EMA20,2024-01-15 00:00:00,2024-02-22 00:00:00,3971.0,4094.95,3971.0,4087.1,,,At/Below Slow EMA,27,4064.66,4024.1,4087.1,4066.66,4189.28,SL HIT,2024-02-23 00:00:00,Not Hit,4130.0,-0.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-02-22 00:00:00,1665.0,1684.6,1644.4,1681.35,,,At/Below Slow EMA,28,1679.9,1669.88,1681.35,1672.94,1723.38,SL HIT,2024-02-23 00:00:00,Not Hit,1698.45,-0.5,1d
TCS,1d,EMA10/EMA20,2024-01-15 00:00:00,2024-02-27 00:00:00,3999.0,4124.0,3999.0,4104.4,,,At/Below Slow EMA,30,4060.89,4031.94,4104.4,4083.88,4207.01,SL HIT,2024-02-29 00:00:00,Not Hit,4154.9,-0.5,2d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-02-27 00:00:00,1050.75,1066.2,1046.5,1060.2,,,Between Slow & Fast EMA,38,1046.51,1034.17,1060.2,1054.9,1086.7,SL HIT,2024-02-28 00:00:00,Not Hit,1064.85,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-02-29 00:00:00,1043.05,1060.7,1038.5,1052.2,,,Between Slow & Fast EMA,40,1047.5,1036.93,1052.2,1046.94,1078.5,TARGET HIT,Not Hit,2024-03-01 00:00:00,1089.95,2.5,1d
INFY,1d,EMA10/EMA20,2024-01-12 00:00:00,2024-02-29 00:00:00,1665.0,1682.25,1653.3,1673.9,,,At/Below Slow EMA,33,1673.32,1669.65,1673.9,1665.53,1715.75,SL HIT,2024-03-01 00:00:00,Not Hit,1671.95,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-03-01 00:00:00,1055.0,1089.95,1054.0,1086.9,,,Between Slow & Fast EMA,41,1054.66,1041.69,1086.9,1081.47,1114.07,SL HIT,2024-03-02 00:00:00,Not Hit,1089.45,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2024-01-11 00:00:00,2024-03-01 00:00:00,1463.5,1500.0,1462.5,1492.12,,,Between Slow & Fast EMA,35,1473.93,1459.24,1492.12,1484.66,1529.42,SL HIT,2024-03-06 00:00:00,Not Hit,1512.45,-0.5,4d
RELIANCE,1d,EMA10/EMA20,2024-01-11 00:00:00,2024-03-06 00:00:00,1493.45,1509.0,1478.5,1503.0,,,Between Slow & Fast EMA,39,1488.9,1472.94,1503.0,1495.48,1540.57,SL HIT,2024-03-07 00:00:00,Not Hit,1503.1,-0.5,1d
TCS,1d,EMA10/EMA20,2024-01-15 00:00:00,2024-03-07 00:00:00,4065.0,4124.0,4037.7,4108.6,,,At/Below Slow EMA,38,4076.56,4059.74,4108.6,4088.06,4211.31,TARGET HIT,Not Hit,2024-03-12 00:00:00,4229.95,2.5,2d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-03-13 00:00:00,1077.15,1089.65,1073.15,1083.95,,,Between Slow & Fast EMA,49,1078.61,1065.78,1083.95,1078.53,1111.05,SL HIT,2024-03-14 00:00:00,Not Hit,1097.1,-0.5,1d
TCS,1d,EMA10/EMA20,2024-01-15 00:00:00,2024-03-14 00:00:00,4153.45,4225.0,4086.0,4207.6,,,At/Below Slow EMA,42,4129.8,4096.26,4207.6,4186.56,4312.79,SL HIT,2024-03-15 00:00:00,Not Hit,4239.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-03-14 00:00:00,1080.0,1097.1,1075.05,1083.6,,,Between Slow & Fast EMA,50,1079.51,1067.48,1083.6,1078.18,1110.69,SL HIT,2024-03-15 00:00:00,Not Hit,1086.25,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,722.7,721.0,726.33,722.7,744.49,SL HIT,2024-03-18 00:00:00,Not Hit,728.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-03-15 00:00:00,1072.0,1086.25,1070.0,1080.35,,,Between Slow & Fast EMA,51,1079.67,1068.7,1080.35,1074.95,1107.36,SL HIT,2024-03-18 00:00:00,Not Hit,1084.8,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-03-18 00:00:00,1075.05,1084.8,1060.05,1081.2,,,At/Below Slow EMA,52,1079.95,1069.89,1081.2,1075.79,1108.23,SL HIT,2024-03-19 00:00:00,Not Hit,1088.75,-0.5,1d
