Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
TCS,1h,EMA21/EMA50,2026-01-01 10:15:00,2026-01-05 11:15:00,3223.3,3231.3,3220.0,3228.3,3227.65,3220.6,At/Below Slow EMA,15,,,3228.3,3212.16,3276.72,SL HIT,2026-01-05 15:15:00,Not Hit,3233.8,-0.5,4h
TCS,1h,EMA21/EMA50,2026-01-01 10:15:00,2026-01-06 09:15:00,3210.0,3248.0,3206.3,3238.1,3226.07,3221.09,At/Below Slow EMA,20,,,3238.1,3221.91,3286.67,TARGET HIT,Not Hit,2026-01-07 10:15:00,3297.0,1.5,8h
TCS,1h,EMA21/EMA50,2026-01-01 10:15:00,2026-01-07 09:15:00,3242.9,3280.5,3236.7,3276.3,3238.25,3228.06,Between Slow & Fast EMA,27,,,3276.3,3259.92,3325.44,SL HIT,2026-01-08 09:15:00,Not Hit,3300.6,-0.5,7h
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,2026-01-12 12:15:00,1407.2,1424.3,1406.0,1420.1,1411.6,1398.35,Between Slow & Fast EMA,41,,,1420.1,1413.0,1441.4,SL HIT,2026-01-12 14:15:00,Not Hit,1420.8,-0.5,2h
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,2026-01-12 15:15:00,1410.7,1420.0,1410.4,1420.0,1412.66,1400.32,Between Slow & Fast EMA,44,,,1420.0,1412.9,1441.3,SL HIT,2026-01-13 09:15:00,Not Hit,1424.9,-0.5,1h
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,2026-01-13 09:15:00,1420.0,1424.9,1411.1,1422.7,1413.57,1401.2,Between Slow & Fast EMA,45,,,1422.7,1415.59,1444.04,SL HIT,2026-01-14 10:15:00,Not Hit,1443.4,-0.5,8h
ICICIBANK,1h,EMA21/EMA50,2026-01-02 13:15:00,2026-01-14 11:15:00,1416.5,1431.8,1416.1,1429.2,1423.11,1410.14,Between Slow & Fast EMA,54,,,1429.2,1422.05,1450.64,SL HIT,2026-01-14 13:15:00,Not Hit,1431.8,-0.5,2h
INFY,1h,EMA21/EMA50,2026-01-16 10:15:00,2026-01-22 11:15:00,1659.0,1662.2,1654.5,1660.4,1657.44,1648.19,Between Slow & Fast EMA,29,,,1660.4,1652.1,1685.31,TARGET HIT,Not Hit,2026-01-27 09:15:00,1685.8,1.5,12h
INFY,1h,EMA21/EMA50,2026-01-16 10:15:00,2026-01-22 14:15:00,1656.1,1666.6,1654.2,1663.3,1657.69,1649.33,Between Slow & Fast EMA,32,,,1663.3,1654.98,1688.25,TARGET HIT,Not Hit,2026-01-27 15:15:00,1689.1,1.5,15h
INFY,1h,EMA21/EMA50,2026-01-16 10:15:00,2026-01-23 14:15:00,1663.2,1672.1,1662.3,1670.2,1662.6,1653.82,Between Slow & Fast EMA,39,,,1670.2,1661.85,1695.25,SL HIT,2026-01-27 09:15:00,Not Hit,1685.8,-0.5,2h
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,930.71,928.88,Between Slow & Fast EMA,5,,,936.6,931.92,950.65,SL HIT,2026-01-30 11:15:00,Not Hit,938.85,-0.5,2h
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,2026-01-30 13:15:00,931.55,934.7,930.1,934.0,931.71,929.63,Between Slow & Fast EMA,9,,,934.0,929.33,948.01,SL HIT,2026-01-30 14:15:00,Not Hit,934.55,-0.5,1h
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,2026-02-01 09:15:00,932.0,936.8,925.25,935.4,931.6,929.8,At/Below Slow EMA,12,,,935.4,930.72,949.43,SL HIT,2026-02-01 12:15:00,Not Hit,939.65,-0.5,3h
RELIANCE,1h,EMA21/EMA50,2026-02-03 11:15:00,2026-02-06 10:15:00,1437.9,1448.8,1437.5,1448.0,1439.03,1424.55,Between Slow & Fast EMA,20,,,1448.0,1440.76,1469.72,SL HIT,2026-02-06 12:15:00,Not Hit,1448.5,-0.5,2h
