Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA9 @ Cross,EMA9 @ Touch
HDFCBANK,1d,EMA9/EMA21,2024-03-13 00:00:00,730.2,720.03,,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,721.24,,At/Below Slow EMA,2,721.18,723.26
HDFCBANK,1d,EMA9/EMA21,2024-03-13 00:00:00,730.2,720.03,,2024-03-19 00:00:00,717.75,726.2,717.75,724.67,721.7,,At/Below Slow EMA,4,721.18,723.5
HDFCBANK,1d,EMA9/EMA21,2024-03-13 00:00:00,730.2,720.03,,2024-03-21 00:00:00,721.3,725.62,719.15,722.88,721.29,,At/Below Slow EMA,6,721.18,722.1
HDFCBANK,1d,EMA9/EMA21,2024-03-28 00:00:00,723.95,720.82,,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,747.39,,At/Below Slow EMA,13,720.92,756.28
HDFCBANK,1d,EMA9/EMA21,2024-03-28 00:00:00,723.95,720.82,,2024-04-29 00:00:00,757.5,767.23,753.27,764.75,751.66,,Between Slow & Fast EMA,19,720.92,757.38
HDFCBANK,1d,EMA9/EMA21,2024-03-28 00:00:00,723.95,720.82,,2024-05-06 00:00:00,761.0,767.25,758.58,761.33,754.87,,Between Slow & Fast EMA,23,720.92,759.95
HDFCBANK,1d,EMA9/EMA21,2024-05-27 00:00:00,763.85,742.63,,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,746.63,,Between Slow & Fast EMA,3,744.36,751.21
HDFCBANK,1d,EMA9/EMA21,2024-05-27 00:00:00,763.85,742.63,,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,,At/Below Slow EMA,7,744.36,760.57
HDFCBANK,1d,EMA9/EMA21,2024-08-26 00:00:00,819.98,814.82,,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,816.1,,At/Below Slow EMA,6,815.42,817.03
HDFCBANK,1d,EMA9/EMA21,2024-08-26 00:00:00,819.98,814.82,,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,816.53,,At/Below Slow EMA,7,815.42,817.8
HDFCBANK,1d,EMA9/EMA21,2024-08-26 00:00:00,819.98,814.82,,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,817.77,,At/Below Slow EMA,10,815.42,819.63
HDFCBANK,1d,EMA9/EMA21,2024-10-21 00:00:00,864.35,843.03,,2024-10-29 00:00:00,863.08,882.0,862.55,875.92,854.69,,Between Slow & Fast EMA,6,844.44,863.73
HDFCBANK,1d,EMA9/EMA21,2024-10-21 00:00:00,864.35,843.03,,2024-10-31 00:00:00,864.0,869.45,859.7,867.85,856.92,,Between Slow & Fast EMA,8,844.44,865.12
HDFCBANK,1d,EMA9/EMA21,2024-10-21 00:00:00,864.35,843.03,,2024-11-01 00:00:00,866.5,872.05,863.05,868.65,857.99,,Between Slow & Fast EMA,9,844.44,865.83
HDFCBANK,1d,EMA9/EMA21,2024-10-21 00:00:00,864.35,843.03,,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,859.82,,At/Below Slow EMA,11,844.44,867.04
HDFCBANK,1d,EMA9/EMA21,2024-10-21 00:00:00,864.35,843.03,,2024-11-07 00:00:00,872.15,880.48,869.0,873.27,862.51,,Between Slow & Fast EMA,13,844.44,869.98
HDFCBANK,1d,EMA9/EMA21,2024-11-19 00:00:00,871.12,861.48,,2024-11-22 00:00:00,871.77,877.15,864.77,872.8,863.26,,Between Slow & Fast EMA,2,861.75,865.38
HDFCBANK,1d,EMA9/EMA21,2024-11-19 00:00:00,871.12,861.48,,2024-12-02 00:00:00,901.75,904.08,887.5,902.35,878.62,,Between Slow & Fast EMA,8,861.75,890.21
HDFCBANK,1d,EMA9/EMA21,2024-11-19 00:00:00,871.12,861.48,,2024-12-13 00:00:00,931.25,937.5,914.62,935.88,908.73,,Between Slow & Fast EMA,17,861.75,926.25
HDFCBANK,1d,EMA9/EMA21,2025-02-05 00:00:00,868.9,846.35,,2025-02-17 00:00:00,842.6,860.0,840.62,858.67,851.37,,At/Below Slow EMA,8,848.11,853.56
HDFCBANK,1d,EMA9/EMA21,2025-02-05 00:00:00,868.9,846.35,,2025-02-18 00:00:00,856.52,865.77,853.08,861.52,852.29,,Between Slow & Fast EMA,9,848.11,855.15
HDFCBANK,1d,EMA9/EMA21,2025-02-05 00:00:00,868.9,846.35,,2025-02-19 00:00:00,858.5,868.95,856.23,863.6,853.32,,Between Slow & Fast EMA,10,848.11,856.84
HDFCBANK,1d,EMA9/EMA21,2025-02-28 00:00:00,866.2,851.33,,2025-03-04 00:00:00,849.0,857.15,846.62,855.0,851.62,,At/Below Slow EMA,2,852.06,852.44
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-04-02 00:00:00,885.35,899.6,885.35,898.45,880.22,,Between Slow & Fast EMA,11,850.64,894.33
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-04-03 00:00:00,890.55,902.0,888.5,897.42,881.78,,Between Slow & Fast EMA,12,850.64,894.95
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-04-11 00:00:00,887.38,909.7,887.38,903.38,885.48,,Between Slow & Fast EMA,17,850.64,892.79
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-05-07 00:00:00,967.0,974.35,961.2,972.8,943.69,,Between Slow & Fast EMA,32,850.64,962.06
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-05-12 00:00:00,958.8,979.95,956.15,978.6,948.51,,Between Slow & Fast EMA,35,850.64,962.9
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,951.7,,At/Below Slow EMA,38,850.64,962.28
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-05-23 00:00:00,960.05,968.5,957.25,966.8,957.01,,Between Slow & Fast EMA,44,850.64,963.37
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-05-26 00:00:00,967.5,974.95,963.45,970.1,958.2,,Between Slow & Fast EMA,45,850.64,964.72
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-05-30 00:00:00,965.95,974.4,962.7,972.45,960.56,,Between Slow & Fast EMA,49,850.64,965.57
HDFCBANK,1d,EMA9/EMA21,2025-03-17 00:00:00,855.2,850.27,,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,961.06,,At/Below Slow EMA,50,850.64,965.66
