Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-28 14:15:00,929.45,933.75,928.45,931.4,,,Between Slow & Fast EMA,6,920.3,919.85,929.21,925.98
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-29 10:15:00,925.9,930.6,925.25,930.2,,,At/Below Slow EMA,9,920.3,919.85,929.3,926.88
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-29 11:15:00,930.15,934.4,927.95,933.9,,,Between Slow & Fast EMA,10,920.3,919.85,930.13,927.55
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,,,At/Below Slow EMA,15,920.3,919.85,933.94,930.94
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-30 11:15:00,934.45,935.8,931.9,935.7,,,Between Slow & Fast EMA,17,920.3,919.85,934.33,931.69
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-01-30 13:15:00,931.55,934.7,930.1,934.0,,,At/Below Slow EMA,19,920.3,919.85,933.86,931.91
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,928.0,,,2026-02-01 09:15:00,932.0,936.8,925.25,935.4,,,At/Below Slow EMA,22,920.3,919.85,932.8,931.75
HDFCBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,947.6,,,2026-02-05 10:15:00,950.9,951.7,949.05,951.65,,,Between Slow & Fast EMA,15,929.99,929.26,950.64,946.67
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,925.25,,,2026-02-17 09:15:00,923.0,925.8,918.7,925.65,,,At/Below Slow EMA,1,922.39,922.36,922.98,922.68
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,925.25,,,2026-02-17 10:15:00,925.6,927.7,923.0,926.2,,,At/Below Slow EMA,2,922.39,922.36,923.57,923.01
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,925.25,,,2026-02-17 14:15:00,924.35,927.3,923.35,925.7,,,At/Below Slow EMA,6,922.39,922.36,924.32,923.63
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,842.9,,,2026-03-17 11:15:00,840.15,841.05,835.15,840.6,,,Between Slow & Fast EMA,4,829.65,829.65,835.97,833.43
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,842.9,,,2026-03-18 11:15:00,838.55,842.1,837.75,840.65,,,Between Slow & Fast EMA,11,829.65,829.65,839.54,837.35
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,842.9,,,2026-03-18 12:15:00,840.7,841.7,838.75,841.2,,,Between Slow & Fast EMA,12,829.65,829.65,839.84,837.72
