Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA9 @ Cross,EMA9 @ Touch
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-28 14:15:00,929.45,933.75,928.45,931.4,925.81,,Between Slow & Fast EMA,6,920.57,929.69
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-29 10:15:00,925.9,930.6,925.25,930.2,926.72,,At/Below Slow EMA,9,920.57,929.55
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-29 11:15:00,930.15,934.4,927.95,933.9,927.37,,Between Slow & Fast EMA,10,920.57,930.42
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-29 15:15:00,934.65,937.2,933.6,935.8,930.12,,Between Slow & Fast EMA,14,920.57,933.68
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,930.71,,At/Below Slow EMA,15,920.57,934.26
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-30 11:15:00,934.45,935.8,931.9,935.7,931.47,,Between Slow & Fast EMA,17,920.57,934.57
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-01-30 13:15:00,931.55,934.7,930.1,934.0,931.71,,At/Below Slow EMA,19,920.57,933.98
HDFCBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,928.0,919.92,,2026-02-01 09:15:00,932.0,936.8,925.25,935.4,931.6,,At/Below Slow EMA,22,920.57,932.81
HDFCBANK,1h,EMA9/EMA21,2026-02-03 09:15:00,947.6,929.24,,2026-02-05 10:15:00,950.9,951.7,949.05,951.65,946.29,,Between Slow & Fast EMA,15,930.28,950.95
HDFCBANK,1h,EMA9/EMA21,2026-02-16 15:15:00,925.25,922.5,,2026-02-17 09:15:00,923.0,925.8,918.7,925.65,922.79,,At/Below Slow EMA,1,922.65,923.25
HDFCBANK,1h,EMA9/EMA21,2026-02-16 15:15:00,925.25,922.5,,2026-02-17 10:15:00,925.6,927.7,923.0,926.2,923.1,,At/Below Slow EMA,2,922.65,923.84
HDFCBANK,1h,EMA9/EMA21,2026-02-16 15:15:00,925.25,922.5,,2026-02-17 14:15:00,924.35,927.3,923.35,925.7,923.67,,At/Below Slow EMA,6,922.65,924.49
HDFCBANK,1h,EMA9/EMA21,2026-03-16 14:15:00,842.9,829.87,,2026-03-17 11:15:00,840.15,841.05,835.15,840.6,833.44,,Between Slow & Fast EMA,4,830.06,836.58
HDFCBANK,1h,EMA9/EMA21,2026-03-16 14:15:00,842.9,829.87,,2026-03-18 11:15:00,838.55,842.1,837.75,840.65,837.24,,Between Slow & Fast EMA,11,830.06,839.76
HDFCBANK,1h,EMA9/EMA21,2026-03-16 14:15:00,842.9,829.87,,2026-03-18 12:15:00,840.7,841.7,838.75,841.2,837.6,,Between Slow & Fast EMA,12,830.06,840.05
HDFCBANK,1h,EMA9/EMA21,2026-03-16 14:15:00,842.9,829.87,,2026-03-18 13:15:00,841.05,844.45,840.45,844.3,838.21,,Between Slow & Fast EMA,13,830.06,840.9
HDFCBANK,1h,EMA9/EMA21,2026-04-06 11:15:00,756.6,747.88,,2026-04-07 09:15:00,766.0,767.95,761.0,767.45,756.1,,Between Slow & Fast EMA,5,748.6,762.65
HDFCBANK,1h,EMA9/EMA21,2026-04-06 11:15:00,756.6,747.88,,2026-04-07 11:15:00,762.85,769.35,761.95,765.95,757.54,,Between Slow & Fast EMA,7,748.6,763.33
HDFCBANK,1h,EMA9/EMA21,2026-04-06 11:15:00,756.6,747.88,,2026-04-07 13:15:00,764.5,772.15,764.45,771.0,759.34,,Between Slow & Fast EMA,9,748.6,765.06
HDFCBANK,1h,EMA9/EMA21,2026-04-06 11:15:00,756.6,747.88,,2026-04-10 09:15:00,804.0,811.7,801.05,810.0,794.42,,Between Slow & Fast EMA,26,748.6,802.26
ICICIBANK,1h,EMA9/EMA21,2026-01-02 11:15:00,1350.0,1343.11,,2026-01-05 09:15:00,1354.2,1370.9,1353.0,1369.6,1348.57,,Between Slow & Fast EMA,5,1343.23,1353.57
ICICIBANK,1h,EMA9/EMA21,2026-01-02 11:15:00,1350.0,1343.11,,2026-01-05 14:15:00,1365.5,1373.4,1364.1,1370.8,1357.0,,Between Slow & Fast EMA,10,1343.23,1364.94
ICICIBANK,1h,EMA9/EMA21,2026-01-02 11:15:00,1350.0,1343.11,,2026-01-06 09:15:00,1372.0,1410.5,1367.8,1409.7,1363.03,,Between Slow & Fast EMA,12,1343.23,1375.02
ICICIBANK,1h,EMA9/EMA21,2026-01-12 15:15:00,1420.0,1412.66,,2026-01-13 09:15:00,1420.0,1424.9,1411.1,1422.7,1413.57,,At/Below Slow EMA,1,1413.41,1415.27
ICICIBANK,1h,EMA9/EMA21,2026-01-12 15:15:00,1420.0,1412.66,,2026-01-14 11:15:00,1416.5,1431.8,1416.1,1429.2,1423.11,,At/Below Slow EMA,10,1413.41,1426.88
ICICIBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,1367.1,1353.19,,2026-01-28 14:15:00,1364.7,1369.4,1364.0,1367.4,1359.82,,Between Slow & Fast EMA,6,1354.52,1364.53
ICICIBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,1367.1,1353.19,,2026-01-29 10:15:00,1363.8,1367.7,1362.2,1365.4,1361.3,,Between Slow & Fast EMA,9,1354.52,1365.09
ICICIBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,1367.1,1353.19,,2026-01-29 11:15:00,1365.3,1369.0,1364.7,1367.5,1361.86,,Between Slow & Fast EMA,10,1354.52,1365.57
ICICIBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,1367.1,1353.19,,2026-01-29 12:15:00,1367.4,1374.8,1367.0,1373.0,1362.88,,Between Slow & Fast EMA,11,1354.52,1367.05
ICICIBANK,1h,EMA9/EMA21,2026-01-27 15:15:00,1367.1,1353.19,,2026-01-30 09:15:00,1368.2,1381.9,1368.2,1377.1,1368.53,,At/Below Slow EMA,15,1354.52,1375.07
ICICIBANK,1h,EMA9/EMA21,2026-02-03 09:15:00,1390.1,1355.07,,2026-02-05 10:15:00,1406.1,1408.3,1403.1,1406.3,1391.87,,Between Slow & Fast EMA,15,1356.65,1403.77
ICICIBANK,1h,EMA9/EMA21,2026-02-03 09:15:00,1390.1,1355.07,,2026-02-06 09:15:00,1396.7,1406.8,1396.7,1403.6,1395.84,,Between Slow & Fast EMA,21,1356.65,1401.38
ICICIBANK,1h,EMA9/EMA21,2026-02-03 09:15:00,1390.1,1355.07,,2026-02-06 12:15:00,1395.7,1403.0,1395.0,1401.9,1396.57,,At/Below Slow EMA,24,1356.65,1400.19
ICICIBANK,1h,EMA9/EMA21,2026-02-10 10:15:00,1399.9,1397.54,,2026-02-10 12:15:00,1398.5,1406.9,1396.0,1404.9,1398.28,,At/Below Slow EMA,2,1397.67,1399.23
ICICIBANK,1h,EMA9/EMA21,2026-02-10 10:15:00,1399.9,1397.54,,2026-02-11 11:15:00,1402.5,1407.0,1401.7,1403.8,1400.83,,Between Slow & Fast EMA,8,1397.67,1402.79
ICICIBANK,1h,EMA9/EMA21,2026-02-10 10:15:00,1399.9,1397.54,,2026-02-11 12:15:00,1403.7,1407.7,1401.4,1404.7,1401.19,,Between Slow & Fast EMA,9,1397.67,1403.17
ICICIBANK,1h,EMA9/EMA21,2026-02-10 10:15:00,1399.9,1397.54,,2026-02-11 13:15:00,1404.6,1408.0,1403.4,1407.0,1401.71,,Between Slow & Fast EMA,10,1397.67,1403.94
ICICIBANK,1h,EMA9/EMA21,2026-02-10 10:15:00,1399.9,1397.54,,2026-02-12 09:15:00,1406.1,1428.0,1406.1,1423.5,1404.69,,Between Slow & Fast EMA,13,1397.67,1409.04
ICICIBANK,1h,EMA9/EMA21,2026-02-10 10:15:00,1399.9,1397.54,,2026-02-13 09:15:00,1425.3,1433.9,1424.2,1428.4,1416.09,,Between Slow & Fast EMA,20,1397.67,1424.51
ICICIBANK,1h,EMA9/EMA21,2026-02-25 13:15:00,1401.9,1396.34,,2026-02-26 10:15:00,1401.5,1407.0,1399.0,1405.5,1398.09,,Between Slow & Fast EMA,4,1396.83,1399.98
ICICIBANK,1h,EMA9/EMA21,2026-02-25 13:15:00,1401.9,1396.34,,2026-02-26 11:15:00,1405.4,1409.0,1400.0,1406.1,1398.82,,Between Slow & Fast EMA,5,1396.83,1401.21
ICICIBANK,1h,EMA9/EMA21,2026-02-25 13:15:00,1401.9,1396.34,,2026-02-26 13:15:00,1399.2,1404.5,1398.0,1403.5,1399.26,,At/Below Slow EMA,7,1396.83,1401.33
ICICIBANK,1h,EMA9/EMA21,2026-03-17 10:15:00,1280.1,1268.24,,2026-03-18 10:15:00,1272.6,1290.6,1272.0,1289.3,1276.47,,At/Below Slow EMA,7,1268.52,1281.56
ICICIBANK,1h,EMA9/EMA21,2026-03-17 10:15:00,1280.1,1268.24,,2026-03-18 15:15:00,1289.1,1293.9,1286.0,1292.0,1282.19,,Between Slow & Fast EMA,12,1268.52,1288.27
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-07 11:15:00,1222.1,1229.0,1221.5,1224.9,1219.85,,Between Slow & Fast EMA,4,1219.44,1222.4
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-07 12:15:00,1224.2,1229.8,1222.5,1225.3,1220.34,,Between Slow & Fast EMA,5,1219.44,1222.98
