Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,722.7,721.0,726.33,724.15,740.86,SL HIT,2024-03-18 00:00:00,Not Hit,728.0,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,755.62,748.03,765.65,763.35,780.96,SL HIT,2024-04-22 00:00:00,Not Hit,778.7,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,750.39,746.78,757.42,755.15,772.57,TARGET HIT,Not Hit,2024-06-03 00:00:00,799.5,2.0,2d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,816.93,816.16,818.67,816.21,835.04,SL HIT,2024-09-04 00:00:00,Not Hit,822.4,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,2024-10-29 00:00:00,863.08,882.0,862.55,875.92,,,Between Slow & Fast EMA,6,862.56,855.2,875.92,873.29,893.44,SL HIT,2024-10-30 00:00:00,Not Hit,877.38,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,2024-11-22 00:00:00,871.77,877.15,864.77,872.8,,,Between Slow & Fast EMA,2,865.26,863.51,872.8,870.18,890.26,TARGET HIT,Not Hit,2024-11-25 00:00:00,901.77,2.0,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,2025-02-17 00:00:00,842.6,860.0,840.62,858.67,,,At/Below Slow EMA,8,853.27,851.34,858.67,856.09,875.84,SL HIT,2025-02-18 00:00:00,Not Hit,865.77,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-28 00:00:00,2025-03-04 00:00:00,849.0,857.15,846.62,855.0,,,At/Below Slow EMA,2,852.34,851.62,855.0,852.43,872.1,SL HIT,2025-03-05 00:00:00,Not Hit,855.4,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-02 00:00:00,885.35,899.6,885.35,898.45,,,Between Slow & Fast EMA,11,892.95,881.11,898.45,895.75,916.42,SL HIT,2025-04-03 00:00:00,Not Hit,902.0,-0.3,1d
HDFCBANK,1d,EMA10/EMA20,2025-10-07 00:00:00,2025-10-13 00:00:00,974.3,981.0,972.0,977.0,,,Between Slow & Fast EMA,4,972.45,969.21,977.0,974.07,996.54,SL HIT,2025-10-14 00:00:00,Not Hit,980.45,-0.3,1d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-16 00:00:00,743.5,756.45,741.12,754.62,745.39,743.61,At/Below Slow EMA,3,,,754.62,752.36,769.71,SL HIT,2024-04-18 00:00:00,Not Hit,759.42,-0.3,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,748.7,At/Below Slow EMA,6,,,775.9,773.57,791.42,SL HIT,2024-06-06 00:00:00,Not Hit,782.73,-0.3,1d
HDFCBANK,1d,EMA21/EMA50,2025-03-20 00:00:00,2025-04-08 00:00:00,882.5,891.0,875.15,884.58,883.81,871.72,Between Slow & Fast EMA,12,,,884.58,881.93,902.27,SL HIT,2025-04-09 00:00:00,Not Hit,887.5,-0.3,1d
HDFCBANK,1d,EMA21/EMA50,2025-10-17 00:00:00,2025-11-03 00:00:00,985.0,994.55,983.3,992.65,990.2,982.76,Between Slow & Fast EMA,10,,,992.65,989.67,1012.5,SL HIT,2025-11-04 00:00:00,Not Hit,997.0,-0.3,1d
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-28 14:15:00,929.45,933.75,928.45,931.4,,,Between Slow & Fast EMA,6,929.21,925.98,931.4,928.61,950.03,SL HIT,2026-01-29 09:15:00,Not Hit,933.0,-0.3,2h
HDFCBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-05 10:15:00,950.9,951.7,949.05,951.65,,,Between Slow & Fast EMA,15,950.64,946.67,951.65,948.8,970.68,SL HIT,2026-02-05 12:15:00,Not Hit,952.85,-0.3,2h
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,2026-02-17 09:15:00,923.0,925.8,918.7,925.65,,,At/Below Slow EMA,1,922.98,922.68,925.65,922.87,944.16,SL HIT,2026-02-18 09:15:00,Not Hit,928.0,-0.3,7h
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,2026-03-17 11:15:00,840.15,841.05,835.15,840.6,,,Between Slow & Fast EMA,4,835.97,833.43,840.6,838.08,857.41,SL HIT,2026-03-18 09:15:00,Not Hit,848.7,-0.3,5h
HDFCBANK,1h,EMA10/EMA20,2026-04-06 11:15:00,2026-04-07 09:15:00,766.0,767.95,761.0,767.45,,,Between Slow & Fast EMA,5,761.69,756.3,767.45,765.15,782.8,SL HIT,2026-04-07 10:15:00,Not Hit,769.5,-0.3,1h
HDFCBANK,1h,EMA21/EMA50,2026-01-29 11:15:00,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,930.71,928.88,Between Slow & Fast EMA,5,,,936.6,933.79,955.33,SL HIT,2026-01-30 11:15:00,Not Hit,938.85,-0.3,2h
HDFCBANK,1h,EMA21/EMA50,2026-04-08 09:15:00,2026-04-21 09:15:00,795.2,803.5,795.2,802.3,799.41,797.16,At/Below Slow EMA,56,,,802.3,799.89,818.35,SL HIT,2026-04-22 15:15:00,Not Hit,814.5,-0.3,13h
ICICIBANK,1d,EMA10/EMA20,2024-01-03 00:00:00,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,,,At/Below Slow EMA,1,983.41,982.87,987.15,984.19,1006.89,SL HIT,2024-01-05 00:00:00,Not Hit,998.3,-0.3,1d
ICICIBANK,1d,EMA10/EMA20,2024-04-24 00:00:00,2024-04-25 00:00:00,1090.0,1125.65,1089.95,1113.75,,,Between Slow & Fast EMA,1,1089.99,1086.37,1113.75,1110.41,1136.03,SL HIT,2024-04-26 00:00:00,Not Hit,1120.0,-0.3,1d
ICICIBANK,1d,EMA10/EMA20,2024-06-19 00:00:00,2024-07-03 00:00:00,1196.85,1215.85,1179.45,1201.6,,,Between Slow & Fast EMA,10,1188.25,1168.04,1201.6,1198.0,1225.63,TARGET HIT,Not Hit,2024-07-04 00:00:00,1234.95,2.0,1d
ICICIBANK,1d,EMA10/EMA20,2024-08-27 00:00:00,2024-09-09 00:00:00,1202.9,1238.3,1200.45,1235.0,,,At/Below Slow EMA,9,1224.3,1215.13,1235.0,1231.3,1259.7,SL HIT,2024-09-10 00:00:00,Not Hit,1241.35,-0.3,1d
ICICIBANK,1d,EMA10/EMA20,2024-10-28 00:00:00,2024-11-05 00:00:00,1273.0,1301.3,1263.1,1296.7,,,At/Below Slow EMA,6,1285.55,1276.28,1296.7,1292.81,1322.63,SL HIT,2024-11-06 00:00:00,Not Hit,1315.0,-0.3,1d
