Target %,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.0,229,146,78,1,65.2,2.43,0.54,-0.107,-24.5,1.16,-2.4,-0.117,0.87,-59.48,-0.41
1.5,229,126,100,1,55.8,2.43,0.81,-0.065,-14.94,1.68,-2.26,-0.075,0.93,-50.43,-0.3
2.0,229,111,117,1,48.7,2.43,1.08,-0.119,-27.18,2.0,-2.13,-0.128,0.89,-54.36,-0.5
2.5,229,99,129,1,43.4,2.43,1.34,-0.121,-27.69,2.5,-2.13,-0.13,0.9,-52.14,-0.53
3.0,229,86,142,1,37.7,2.43,1.61,-0.183,-41.97,3.0,-2.11,-0.192,0.86,-57.64,-0.73
3.5,229,76,152,1,33.3,2.43,1.88,-0.251,-57.58,3.5,-2.13,-0.261,0.82,-77.51,-0.74
4.0,229,70,158,1,30.7,2.43,2.15,-0.266,-60.84,4.0,-2.16,-0.275,0.82,-82.66,-0.74
4.5,229,64,164,1,28.1,2.43,2.42,-0.276,-63.26,4.5,-2.14,-0.286,0.82,-80.66,-0.78
5.0,229,59,169,1,25.9,2.43,2.69,-0.287,-65.8,5.0,-2.13,-0.297,0.82,-81.43,-0.81
5.5,229,48,180,1,21.1,2.43,2.96,-0.522,-119.65,5.5,-2.13,-0.532,0.69,-137.78,-0.87
6.0,229,45,183,1,19.7,2.43,3.23,-0.522,-119.55,6.0,-2.13,-0.531,0.69,-140.18,-0.85
6.5,229,39,189,1,17.1,2.43,3.5,-0.683,-156.33,6.5,-2.17,-0.692,0.62,-179.46,-0.87
7.0,229,37,191,1,16.2,2.43,3.77,-0.68,-155.81,7.0,-2.17,-0.69,0.62,-181.44,-0.86
7.5,229,37,191,1,16.2,2.43,4.03,-0.6,-137.31,7.5,-2.17,-0.609,0.67,-165.44,-0.83
8.0,229,33,195,1,14.5,2.43,4.3,-0.697,-159.63,8.0,-2.17,-0.707,0.62,-190.26,-0.84
8.5,229,31,197,1,13.6,2.43,4.57,-0.728,-166.67,8.5,-2.18,-0.737,0.61,-204.65,-0.81
9.0,229,25,203,1,11.0,2.43,4.84,-0.975,-223.28,9.0,-2.21,-0.985,0.5,-258.91,-0.86
9.5,229,22,206,1,9.6,2.43,5.11,-1.09,-249.59,9.5,-2.23,-1.1,0.46,-287.72,-0.87
10.0,229,20,208,1,8.8,2.43,5.38,-1.176,-269.24,10.0,-2.26,-1.186,0.43,-311.32,-0.86
10.5,229,17,211,1,7.5,2.43,5.65,-1.303,-298.4,10.5,-2.26,-1.313,0.37,-334.82,-0.89
11.0,229,15,213,1,6.6,2.43,5.92,-1.388,-317.86,11.0,-2.27,-1.398,0.34,-356.28,-0.89
11.5,229,14,214,1,6.1,2.43,6.19,-1.443,-330.53,11.5,-2.3,-1.453,0.33,-359.45,-0.92
12.0,229,14,214,1,6.1,2.43,6.45,-1.413,-323.53,12.0,-2.3,-1.423,0.34,-353.95,-0.91
12.5,229,13,215,1,5.7,2.43,6.72,-1.453,-332.79,12.5,-2.3,-1.463,0.33,-364.71,-0.91
13.0,229,12,216,1,5.3,2.43,6.99,-1.498,-343.08,13.0,-2.31,-1.508,0.31,-376.5,-0.91
13.5,229,12,216,1,5.3,2.43,7.26,-1.472,-337.08,13.5,-2.31,-1.482,0.32,-372.0,-0.91
14.0,229,12,216,1,5.3,2.43,7.53,-1.446,-331.08,14.0,-2.31,-1.456,0.34,-367.5,-0.9
14.5,229,11,217,1,4.8,2.43,7.8,-1.505,-344.64,14.5,-2.32,-1.515,0.32,-383.09,-0.9
15.0,229,11,217,1,4.8,2.43,8.07,-1.481,-339.14,15.0,-2.32,-1.491,0.33,-380.59,-0.89
15.5,229,10,218,1,4.4,2.43,8.34,-1.544,-353.55,15.5,-2.33,-1.554,0.3,-398.0,-0.89
16.0,229,10,218,1,4.4,2.43,8.61,-1.522,-348.55,16.0,-2.33,-1.532,0.31,-396.0,-0.88
16.5,229,10,218,1,4.4,2.43,8.88,-1.5,-343.55,16.5,-2.33,-1.51,0.32,-394.0,-0.87
17.0,229,9,219,1,3.9,2.43,9.14,-1.57,-359.47,17.0,-2.34,-1.58,0.3,-412.92,-0.87
17.5,229,9,219,1,3.9,2.43,9.41,-1.55,-354.97,17.5,-2.34,-1.56,0.31,-411.42,-0.86
18.0,229,9,219,1,3.9,2.43,9.68,-1.53,-350.47,18.0,-2.34,-1.541,0.32,-409.92,-0.85
18.5,229,9,219,1,3.9,2.43,9.95,-1.511,-345.97,18.5,-2.34,-1.521,0.32,-408.42,-0.85
19.0,229,8,220,1,3.5,2.43,10.22,-1.584,-362.73,19.0,-2.34,-1.594,0.3,-406.92,-0.89
19.5,229,7,221,1,3.1,2.43,10.49,-1.664,-381.09,19.5,-2.34,-1.674,0.26,-427.78,-0.89
20.0,229,7,221,1,3.1,2.43,10.76,-1.649,-377.59,20.0,-2.34,-1.659,0.27,-426.78,-0.88
