Target %,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.0,128,53,73,1,42.1,1.23,1.2,-0.158,-20.18,1.01,-1.01,-0.158,0.73,-21.76,-0.93
1.5,128,41,85,1,32.5,1.23,1.8,-0.206,-26.37,1.51,-1.04,-0.206,0.71,-25.73,-1.02
2.0,128,31,96,1,24.4,1.23,2.41,-0.31,-39.65,2.0,-1.05,-0.31,0.61,-39.43,-1.01
2.5,128,24,103,1,18.9,1.23,3.01,-0.401,-51.38,2.5,-1.07,-0.401,0.54,-52.22,-0.98
3.0,128,23,104,1,18.1,1.23,3.61,-0.335,-42.89,3.0,-1.07,-0.335,0.62,-48.72,-0.88
3.5,128,20,107,1,15.7,1.23,4.21,-0.371,-47.46,3.5,-1.09,-0.371,0.6,-49.76,-0.95
4.0,128,20,107,1,15.7,1.23,4.81,-0.293,-37.46,4.0,-1.09,-0.293,0.68,-46.76,-0.8
4.5,128,18,108,2,14.3,1.23,5.41,-0.287,-36.74,4.35,-1.1,-0.287,0.69,-43.76,-0.84
5.0,128,16,110,2,12.7,1.23,6.01,-0.33,-42.27,4.81,-1.12,-0.33,0.66,-41.63,-1.02
5.5,128,15,111,2,11.9,1.23,6.61,-0.337,-43.16,5.26,-1.14,-0.337,0.66,-43.24,-1.0
6.0,128,10,116,2,7.9,1.23,7.21,-0.573,-73.39,5.61,-1.15,-0.573,0.46,-72.75,-1.01
6.5,128,10,116,2,7.9,1.23,7.82,-0.534,-68.39,6.07,-1.15,-0.534,0.49,-67.75,-1.01
7.0,128,8,117,3,6.4,1.23,8.42,-0.614,-78.54,5.95,-1.17,-0.614,0.43,-77.9,-1.01
7.5,128,7,117,4,5.6,1.23,9.02,-0.625,-80.04,5.8,-1.17,-0.625,0.42,-79.4,-1.01
8.0,128,5,118,5,4.1,1.23,9.62,-0.762,-97.48,5.69,-1.19,-0.762,0.32,-96.84,-1.01
8.5,128,4,119,5,3.3,1.23,10.22,-0.821,-105.08,5.65,-1.2,-0.821,0.27,-104.44,-1.01
9.0,128,4,119,5,3.3,1.23,10.82,-0.805,-103.08,5.93,-1.2,-0.805,0.29,-102.44,-1.01
9.5,128,4,119,5,3.3,1.23,11.42,-0.79,-101.08,6.22,-1.2,-0.79,0.3,-100.44,-1.01
10.0,128,3,120,5,2.4,1.23,12.03,-0.867,-111.01,5.92,-1.2,-0.867,0.24,-110.37,-1.01
10.5,128,2,121,5,1.6,1.23,12.63,-0.951,-121.75,5.31,-1.21,-0.951,0.18,-121.11,-1.01
11.0,128,2,121,5,1.6,1.23,13.23,-0.943,-120.75,5.51,-1.21,-0.943,0.19,-120.11,-1.01
11.5,128,2,121,5,1.6,1.23,13.83,-0.936,-119.75,5.71,-1.21,-0.936,0.19,-119.11,-1.01
12.0,128,2,121,5,1.6,1.23,14.43,-0.928,-118.75,5.91,-1.21,-0.928,0.2,-118.11,-1.01
12.5,128,2,121,5,1.6,1.23,15.03,-0.92,-117.75,6.11,-1.21,-0.92,0.21,-117.11,-1.01
13.0,128,2,121,5,1.6,1.23,15.63,-0.912,-116.75,6.31,-1.21,-0.912,0.21,-116.11,-1.01
13.5,128,2,121,5,1.6,1.23,16.23,-0.904,-115.75,6.51,-1.21,-0.904,0.22,-115.11,-1.01
14.0,128,0,121,7,0.0,1.23,16.84,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
14.5,128,0,121,7,0.0,1.23,17.44,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
15.0,128,0,121,7,0.0,1.23,18.04,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
15.5,128,0,121,7,0.0,1.23,18.64,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
16.0,128,0,121,7,0.0,1.23,19.24,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
16.5,128,0,121,7,0.0,1.23,19.84,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
17.0,128,0,121,7,0.0,1.23,20.44,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
17.5,128,0,121,7,0.0,1.23,21.04,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
18.0,128,0,121,7,0.0,1.23,21.64,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
18.5,128,0,121,7,0.0,1.23,22.25,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
19.0,128,0,121,7,0.0,1.23,22.85,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
19.5,128,0,121,7,0.0,1.23,23.45,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
20.0,128,0,121,7,0.0,1.23,24.05,-1.063,-136.02,2.45,-1.21,-1.063,0.08,-135.38,-1.0
