Target %,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
4.5,140,54,86,0,38.6,2.44,2.35,0.37,51.74,4.5,-2.22,0.37,1.27,-53.63,0.96
1.0,140,102,37,0,73.4,2.44,0.52,0.362,50.66,1.22,-2.04,0.362,1.67,-18.4,2.75
4.0,140,58,82,0,41.4,2.44,2.09,0.346,48.39,4.0,-2.24,0.346,1.26,-55.13,0.88
3.5,140,62,78,0,44.3,2.44,1.83,0.315,44.11,3.5,-2.22,0.315,1.26,-49.48,0.89
1.5,140,87,52,0,62.6,2.44,0.78,0.297,41.62,1.76,-2.17,0.297,1.37,-23.03,1.81
5.5,140,45,95,0,32.1,2.44,2.87,0.262,36.62,5.5,-2.22,0.262,1.17,-70.78,0.52
7.5,140,36,104,0,25.7,2.44,3.91,0.253,35.41,7.5,-2.26,0.253,1.15,-70.32,0.5
5.0,140,48,92,0,34.3,2.44,2.61,0.252,35.28,5.0,-2.23,0.252,1.17,-66.17,0.53
6.0,140,42,98,0,30.0,2.44,3.13,0.236,33.07,6.0,-2.23,0.236,1.15,-73.32,0.45
2.5,140,73,67,0,52.1,2.44,1.3,0.224,31.4,2.5,-2.26,0.224,1.21,-31.52,1.0
3.0,140,65,75,0,46.4,2.44,1.57,0.206,28.81,3.0,-2.22,0.206,1.17,-41.75,0.69
6.5,140,39,101,0,27.9,2.44,3.39,0.193,27.06,6.5,-2.24,0.193,1.12,-72.32,0.37
8.0,140,33,107,0,23.6,2.44,4.17,0.148,20.72,8.0,-2.27,0.148,1.09,-70.71,0.29
8.5,140,31,109,0,22.1,2.44,4.43,0.127,17.79,8.5,-2.25,0.127,1.07,-86.14,0.21
7.0,140,36,104,0,25.7,2.44,3.65,0.124,17.41,7.0,-2.26,0.124,1.07,-71.32,0.24
