Target %,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.5,229,126,100,1,55.8,2.43,0.81,-0.065,-14.94,1.68,-2.26,-0.075,0.93,-50.43,-0.3
1.0,229,146,78,1,65.2,2.43,0.54,-0.107,-24.5,1.16,-2.4,-0.117,0.87,-59.48,-0.41
2.0,229,111,117,1,48.7,2.43,1.08,-0.119,-27.18,2.0,-2.13,-0.128,0.89,-54.36,-0.5
2.5,229,99,129,1,43.4,2.43,1.34,-0.121,-27.69,2.5,-2.13,-0.13,0.9,-52.14,-0.53
3.0,229,86,142,1,37.7,2.43,1.61,-0.183,-41.97,3.0,-2.11,-0.192,0.86,-57.64,-0.73
3.5,229,76,152,1,33.3,2.43,1.88,-0.251,-57.58,3.5,-2.13,-0.261,0.82,-77.51,-0.74
4.0,229,70,158,1,30.7,2.43,2.15,-0.266,-60.84,4.0,-2.16,-0.275,0.82,-82.66,-0.74
4.5,229,64,164,1,28.1,2.43,2.42,-0.276,-63.26,4.5,-2.14,-0.286,0.82,-80.66,-0.78
5.0,229,59,169,1,25.9,2.43,2.69,-0.287,-65.8,5.0,-2.13,-0.297,0.82,-81.43,-0.81
6.0,229,45,183,1,19.7,2.43,3.23,-0.522,-119.55,6.0,-2.13,-0.531,0.69,-140.18,-0.85
5.5,229,48,180,1,21.1,2.43,2.96,-0.522,-119.65,5.5,-2.13,-0.532,0.69,-137.78,-0.87
7.5,229,37,191,1,16.2,2.43,4.03,-0.6,-137.31,7.5,-2.17,-0.609,0.67,-165.44,-0.83
7.0,229,37,191,1,16.2,2.43,3.77,-0.68,-155.81,7.0,-2.17,-0.69,0.62,-181.44,-0.86
6.5,229,39,189,1,17.1,2.43,3.5,-0.683,-156.33,6.5,-2.17,-0.692,0.62,-179.46,-0.87
8.0,229,33,195,1,14.5,2.43,4.3,-0.697,-159.63,8.0,-2.17,-0.707,0.62,-190.26,-0.84
