Target %,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.0,61,32,27,1,54.2,1.24,1.09,0.081,4.97,1.02,-1.07,0.064,1.17,-7.56,0.66
1.5,61,26,33,1,44.1,1.24,1.64,0.062,3.8,1.51,-1.12,0.044,1.1,-11.19,0.34
2.0,61,17,43,1,28.3,1.24,2.19,-0.268,-16.37,2.0,-1.17,-0.288,0.68,-28.78,-0.57
4.0,61,9,51,1,15.0,1.24,4.37,-0.397,-24.21,4.0,-1.18,-0.416,0.6,-40.94,-0.59
3.5,61,10,50,1,16.7,1.24,3.83,-0.404,-24.65,3.5,-1.19,-0.424,0.59,-40.94,-0.6
2.5,61,12,48,1,20.0,1.24,2.73,-0.421,-25.66,2.5,-1.16,-0.44,0.54,-40.94,-0.63
6.0,61,6,53,2,10.2,1.24,6.56,-0.422,-25.73,5.51,-1.21,-0.442,0.6,-40.94,-0.63
3.0,61,11,49,1,18.3,1.24,3.28,-0.422,-25.77,3.0,-1.2,-0.442,0.56,-40.94,-0.63
4.5,61,8,52,1,13.3,1.24,4.92,-0.43,-26.22,4.5,-1.2,-0.449,0.58,-40.94,-0.64
5.5,61,6,53,2,10.2,1.24,6.01,-0.471,-28.73,5.08,-1.21,-0.491,0.55,-40.94,-0.7
5.0,61,7,53,1,11.7,1.24,5.47,-0.48,-29.29,5.0,-1.21,-0.5,0.54,-40.94,-0.72
8.0,61,4,55,2,6.8,1.24,8.74,-0.547,-33.38,6.91,-1.24,-0.567,0.51,-40.94,-0.82
7.5,61,4,55,2,6.8,1.24,8.2,-0.58,-35.38,6.51,-1.24,-0.6,0.48,-40.94,-0.86
7.0,61,4,55,2,6.8,1.24,7.65,-0.613,-37.38,6.11,-1.24,-0.633,0.45,-40.94,-0.91
6.5,61,4,55,2,6.8,1.24,7.1,-0.646,-39.38,5.71,-1.24,-0.666,0.42,-40.94,-0.96
