Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-04 00:00:00,986.4,989.15,981.9,987.15,982.84,982.51,At/Below Slow EMA,1,,,987.15,981.9,0.53,no prior swing low → touch low,1031.57,8.46,SL HIT,2024-01-08 00:00:00,Not Hit,998.3,-0.53,2d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-05 00:00:00,988.0,998.3,983.8,993.7,983.83,982.95,Between Slow & Fast EMA,2,,,993.7,983.8,1.0,no prior swing low → touch low,1038.42,4.52,SL HIT,2024-01-08 00:00:00,Not Hit,998.2,-1.0,1d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-10 00:00:00,974.3,994.95,974.3,993.05,984.19,983.19,At/Below Slow EMA,5,,,993.05,974.3,1.89,touch is swing low,1037.74,2.38,SL HIT,2024-01-18 00:00:00,Not Hit,1015.8,-1.89,6d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-19 00:00:00,991.3,1010.9,987.55,999.2,990.29,986.57,Between Slow & Fast EMA,12,,,999.2,970.15,2.91,prior swing low @ 2024-01-18 00:00:00,1044.16,1.55,TARGET HIT,Not Hit,2024-01-23 00:00:00,1059.4,4.5,2d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-01-24 00:00:00,1335.22,1349.5,1323.92,1343.88,1337.97,1323.4,Between Slow & Fast EMA,9,,,1343.88,1322.55,1.59,prior swing low @ 2024-01-23 00:00:00,1404.35,2.84,TARGET HIT,Not Hit,2024-01-29 00:00:00,1452.5,4.5,2d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-01-25 00:00:00,1342.95,1364.15,1335.2,1353.08,1339.35,1324.57,Between Slow & Fast EMA,10,,,1353.08,1322.55,2.26,prior swing low @ 2024-01-23 00:00:00,1413.97,1.99,TARGET HIT,Not Hit,2024-01-29 00:00:00,1452.5,4.5,1d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-01-25 00:00:00,998.4,1015.1,988.15,1009.95,996.98,990.27,At/Below Slow EMA,16,,,1009.95,988.15,2.16,touch is swing low,1055.4,2.08,SL HIT,2024-02-08 00:00:00,Not Hit,1050.0,-2.16,9d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-02-01 00:00:00,3820.0,3904.9,3805.05,3854.15,3820.77,3802.37,Between Slow & Fast EMA,11,,,3854.15,3778.7,1.96,prior swing low @ 2024-01-25 00:00:00,4027.59,2.3,TARGET HIT,Not Hit,2024-02-06 00:00:00,4149.9,4.5,3d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-02-13 00:00:00,1006.0,1027.05,1000.3,1019.8,1009.05,999.99,Between Slow & Fast EMA,28,,,1019.8,1012.1,0.76,prior swing low @ 2024-02-05 00:00:00,1065.69,5.96,SL HIT,2024-02-14 00:00:00,Not Hit,1035.7,-0.76,1d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-02-14 00:00:00,1009.55,1035.7,1007.55,1022.7,1010.29,1000.89,Between Slow & Fast EMA,29,,,1022.7,1012.1,1.04,prior swing low @ 2024-02-05 00:00:00,1068.72,4.34,SL HIT,2024-02-15 00:00:00,Not Hit,1026.65,-1.04,1d
INFY,1d,EMA21/EMA50,2024-01-15 00:00:00,2024-02-14 00:00:00,1660.2,1669.45,1635.5,1666.2,1657.73,1613.77,Between Slow & Fast EMA,21,,,1666.2,1635.5,1.84,touch is swing low,1741.18,2.44,SL HIT,2024-03-04 00:00:00,Not Hit,1711.5,-1.84,14d
INFY,1d,EMA21/EMA50,2024-01-15 00:00:00,2024-02-22 00:00:00,1665.0,1684.6,1644.4,1681.35,1668.41,1628.52,Between Slow & Fast EMA,27,,,1681.35,1644.4,2.2,touch is swing low,1757.01,2.05,SL HIT,2024-03-04 00:00:00,Not Hit,1698.45,-2.2,8d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-02-22 00:00:00,3971.0,4094.95,3971.0,4087.1,4019.66,3929.13,Between Slow & Fast EMA,26,,,4087.1,3971.0,2.84,touch is swing low,4271.02,1.58,SL HIT,2024-03-06 00:00:00,Not Hit,4154.9,-2.84,10d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-02-27 00:00:00,3999.0,4124.0,3999.0,4104.4,4028.27,3943.16,Between Slow & Fast EMA,29,,,4104.4,3971.0,3.25,prior swing low @ 2024-02-22 00:00:00,4289.1,1.38,SL HIT,2024-03-06 00:00:00,Not Hit,4154.9,-3.25,7d
INFY,1d,EMA21/EMA50,2024-01-15 00:00:00,2024-02-28 00:00:00,1670.0,1687.8,1662.05,1671.25,1668.23,1634.34,Between Slow & Fast EMA,31,,,1671.25,1644.4,1.61,prior swing low @ 2024-02-22 00:00:00,1746.46,2.8,SL HIT,2024-03-04 00:00:00,Not Hit,1682.25,-1.61,4d
