Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
INFY,1h,EMA10/EMA20,2026-01-01 10:15:00,2026-01-01 11:15:00,1626.0,1638.7,1625.0,1635.4,,,Between Slow & Fast EMA,1,1625.33,1623.97,1635.4,1625.0,0.64,no prior swing low → touch low,1651.75,1.57,SL HIT,2026-01-05 09:15:00,Not Hit,1643.5,-0.64,12h
INFY,1h,EMA10/EMA20,2026-01-01 10:15:00,2026-01-01 15:15:00,1629.4,1631.7,1626.9,1629.5,,,Between Slow & Fast EMA,5,1629.12,1626.8,1629.5,1626.9,0.16,touch is swing low,1645.8,6.27,SL HIT,2026-01-05 09:15:00,Not Hit,1643.5,-0.16,8h
TCS,1h,EMA10/EMA20,2026-01-01 10:15:00,2026-01-02 09:15:00,3234.0,3239.9,3219.5,3234.7,,,Between Slow & Fast EMA,6,3223.38,3218.65,3234.7,3219.5,0.47,touch is swing low,3267.05,2.13,SL HIT,2026-01-05 09:15:00,Not Hit,3252.9,-0.47,7h
TCS,1h,EMA10/EMA20,2026-01-01 10:15:00,2026-01-02 14:15:00,3243.6,3252.8,3234.1,3250.4,,,Between Slow & Fast EMA,11,3236.96,3228.75,3250.4,3219.5,0.95,prior swing low @ 2026-01-02 09:15:00,3282.9,1.05,SL HIT,2026-01-05 09:15:00,Not Hit,3252.9,-0.95,2h
ICICIBANK,1h,EMA10/EMA20,2026-01-02 11:15:00,2026-01-06 09:15:00,1372.0,1410.5,1367.8,1409.7,,,Between Slow & Fast EMA,12,1373.53,1363.68,1409.7,1364.1,3.23,prior swing low @ 2026-01-05 14:15:00,1423.8,0.31,TARGET HIT,Not Hit,2026-01-07 10:15:00,1428.3,1.0,8h
TCS,1h,EMA10/EMA20,2026-01-06 09:15:00,2026-01-07 09:15:00,3242.9,3280.5,3236.7,3276.3,,,At/Below Slow EMA,7,3247.18,3238.82,3276.3,3236.7,1.21,touch is swing low,3309.06,0.83,SL HIT,2026-01-08 09:15:00,Not Hit,3300.6,-1.21,7h
ICICIBANK,1h,EMA10/EMA20,2026-01-12 15:15:00,2026-01-13 09:15:00,1420.0,1424.9,1411.1,1422.7,,,At/Below Slow EMA,1,1415.05,1413.8,1422.7,1391.9,2.16,prior swing low @ 2026-01-12 09:15:00,1436.93,0.46,TARGET HIT,Not Hit,2026-01-13 11:15:00,1437.8,1.0,2h
ICICIBANK,1h,EMA10/EMA20,2026-01-12 15:15:00,2026-01-14 11:15:00,1416.5,1431.8,1416.1,1429.2,,,At/Below Slow EMA,10,1426.64,1423.46,1429.2,1415.0,0.99,prior swing low @ 2026-01-14 10:15:00,1443.49,1.01,SL HIT,2026-01-14 15:15:00,Not Hit,1431.8,-0.99,4h
INFY,1h,EMA10/EMA20,2026-01-22 14:15:00,2026-01-23 14:15:00,1663.2,1672.1,1662.3,1670.2,,,At/Below Slow EMA,7,1665.49,1662.84,1670.2,1631.3,2.33,prior swing low @ 2026-01-21 10:15:00,1686.9,0.43,TARGET HIT,Not Hit,2026-01-27 15:15:00,1689.1,1.0,8h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-28 14:15:00,929.45,933.75,928.45,931.4,,,Between Slow & Fast EMA,6,929.21,925.98,931.4,905.35,2.8,prior swing low @ 2026-01-27 09:15:00,940.71,0.36,TARGET HIT,Not Hit,2026-02-03 09:15:00,983.75,1.0,30h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-29 10:15:00,925.9,930.6,925.25,930.2,,,At/Below Slow EMA,9,929.3,926.88,930.2,924.5,0.61,prior swing low @ 2026-01-29 09:15:00,939.5,1.63,TARGET HIT,Not Hit,2026-02-01 11:15:00,939.65,1.0,15h
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-29 10:15:00,1363.8,1367.7,1362.2,1365.4,,,Between Slow & Fast EMA,9,1364.7,1361.45,1365.4,1354.9,0.77,prior swing low @ 2026-01-29 09:15:00,1379.05,1.3,TARGET HIT,Not Hit,2026-01-29 14:15:00,1387.7,1.0,4h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-29 11:15:00,930.15,934.4,927.95,933.9,,,Between Slow & Fast EMA,10,930.13,927.55,933.9,924.5,1.01,prior swing low @ 2026-01-29 09:15:00,943.24,0.99,SL HIT,2026-02-01 12:15:00,Not Hit,939.65,-1.01,15h
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-29 11:15:00,1365.3,1369.0,1364.7,1367.5,,,Between Slow & Fast EMA,10,1365.21,1362.02,1367.5,1354.9,0.92,prior swing low @ 2026-01-29 09:15:00,1381.17,1.09,TARGET HIT,Not Hit,2026-01-29 14:15:00,1387.7,1.0,3h
RELIANCE,1h,EMA10/EMA20,2026-01-29 12:15:00,2026-01-29 13:15:00,1394.6,1399.9,1392.0,1398.6,,,At/Below Slow EMA,1,1394.72,1394.22,1398.6,1387.0,0.83,prior swing low @ 2026-01-29 09:15:00,1412.59,1.21,SL HIT,2026-01-29 15:15:00,Not Hit,1401.9,-0.83,2h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-30 09:15:00,930.0,937.9,930.0,936.6,,,At/Below Slow EMA,15,933.94,930.94,936.6,930.0,0.7,touch is swing low,945.97,1.42,SL HIT,2026-01-30 14:15:00,Not Hit,938.85,-0.7,5h
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-30 09:15:00,1368.2,1381.9,1368.2,1377.1,,,At/Below Slow EMA,15,1374.36,1368.89,1377.1,1354.9,1.61,prior swing low @ 2026-01-29 09:15:00,1390.87,0.62,SL HIT,2026-01-30 14:15:00,Not Hit,1377.2,-1.61,5h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-30 11:15:00,934.45,935.8,931.9,935.7,,,Between Slow & Fast EMA,17,934.33,931.69,935.7,930.0,0.61,prior swing low @ 2026-01-30 09:15:00,945.06,1.64,SL HIT,2026-01-30 14:15:00,Not Hit,936.4,-0.61,3h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-01-30 13:15:00,931.55,934.7,930.1,934.0,,,At/Below Slow EMA,19,933.86,931.91,934.0,930.0,0.43,prior swing low @ 2026-01-30 09:15:00,943.34,2.33,SL HIT,2026-01-30 14:15:00,Not Hit,934.55,-0.43,1h
HDFCBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,2026-02-01 09:15:00,932.0,936.8,925.25,935.4,,,At/Below Slow EMA,22,932.8,931.75,935.4,925.25,1.09,touch is swing low,944.75,0.92,SL HIT,2026-02-01 12:15:00,Not Hit,939.65,-1.09,3h
RELIANCE,1h,EMA10/EMA20,2026-01-30 15:15:00,2026-02-01 09:15:00,1396.0,1406.0,1388.0,1404.8,,,At/Below Slow EMA,1,1395.1,1393.93,1404.8,1388.0,1.2,touch is swing low,1418.85,0.84,SL HIT,2026-02-01 12:15:00,Not Hit,1411.0,-1.2,3h
TCS,1h,EMA10/EMA20,2026-02-01 13:15:00,2026-02-02 11:15:00,3145.9,3166.0,3134.1,3165.9,,,At/Below Slow EMA,5,3161.95,3156.25,3165.9,3134.1,1.0,touch is swing low,3197.56,1.0,TARGET HIT,Not Hit,2026-02-03 09:15:00,3350.0,1.0,5h
TCS,1h,EMA10/EMA20,2026-02-01 13:15:00,2026-02-02 12:15:00,3165.8,3175.4,3152.6,3172.2,,,At/Below Slow EMA,6,3163.81,3157.77,3172.2,3134.1,1.2,prior swing low @ 2026-02-02 11:15:00,3203.92,0.83,TARGET HIT,Not Hit,2026-02-03 09:15:00,3350.0,1.0,4h
TCS,1h,EMA10/EMA20,2026-02-01 13:15:00,2026-02-02 14:15:00,3149.6,3175.4,3148.6,3172.2,,,At/Below Slow EMA,8,3163.24,3158.45,3172.2,3134.1,1.2,prior swing low @ 2026-02-02 11:15:00,3203.92,0.83,TARGET HIT,Not Hit,2026-02-03 09:15:00,3350.0,1.0,2h
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-05 10:15:00,1447.3,1451.8,1443.5,1448.9,,,Between Slow & Fast EMA,15,1448.2,1436.34,1448.9,1442.0,0.48,prior swing low @ 2026-02-05 09:15:00,1463.39,2.1,SL HIT,2026-02-05 12:15:00,Not Hit,1449.5,-0.48,2h
HDFCBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-05 10:15:00,950.9,951.7,949.05,951.65,,,Between Slow & Fast EMA,15,950.64,946.67,951.65,948.1,0.37,prior swing low @ 2026-02-05 09:15:00,961.17,2.68,SL HIT,2026-02-05 15:15:00,Not Hit,952.85,-0.37,5h
ICICIBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-06 09:15:00,1396.7,1406.8,1396.7,1403.6,,,Between Slow & Fast EMA,21,1401.26,1396.45,1403.6,1393.3,0.73,prior swing low @ 2026-02-05 15:15:00,1417.64,1.36,SL HIT,2026-02-09 12:15:00,Not Hit,1413.5,-0.73,10h
