Symbol,Side,Method,Param,Preset,Expectancy_IS_OOS_mixed,Total_PnL_IS_OOS_mixed,Trades,Stability,atr_pct_med,avg_price
AAVAS,BUY,R,4.0,Wide,4.622101034717204,171.01773828453648,37,4/6,3.585508907615502,1874.297686464088
AAVAS,SELL,R,4.0,Wide,2.6720533245703253,93.52186635996132,35,5/6,3.585508907615502,1874.297686464088
ABB,BUY,R,4.0,Wide,5.70282575023246,176.78759825720627,31,6/6,3.206281800464279,3572.1146408839777
ABFRL,SELL,R,1.5,Mixed-B,0.8660852949171507,29.446900027183137,34,4/6,3.6910815663949856,224.7252417127072
ACC,SELL,target_pct,8.0,Loose,0.4583710738067652,16.04298758323679,35,4/6,2.694127422520383,2003.8064917127072
ACE,BUY,R,4.0,Wide,3.835949784136744,153.4379913654697,40,5/6,4.608037752723153,581.1201657458563
ADANIENT,BUY,R,4.0,Wide,7.072030255215963,261.66511944299054,37,5/6,3.642798984936364,1981.5098066298344
ADANIPORTS,BUY,R,2.5,Mixed-A,2.1627169542328213,71.36965948968306,33,5/6,3.17646429589554,862.7436809392266
AIAENG,BUY,R,4.0,Wide,2.9436150022194045,144.23713510875086,49,6/6,3.077475145630425,2696.9524154589376
AJANTPHARM,BUY,R,4.0,Wide,8.722888608569564,296.57821269136514,34,6/6,3.301667873224001,1936.7477900552483
ALKEM,BUY,R,4.0,Wide,3.4964451530660607,174.82225765330298,50,6/6,2.709244745434789,3828.207182320442
ALKYLAMINE,SELL,R,2.5,Mixed-A,3.8684712238780863,174.08120507451395,45,4/6,3.4912315542508603,2711.227002762431
ALOKINDS,SELL,ATR,3.0,Loose,2.023666974999883,76.89934504999553,38,4/6,4.518688919906346,21.42884479092842
AMBER,BUY,R,4.0,Wide,10.092523655997638,474.34861183188895,47,5/6,4.089101160568769,3464.042714088398
AMBUJACEM,BUY,target_pct,12.0,Wide,3.1876051621376544,114.75378583695556,36,5/6,2.9357292874987744,422.3350483425414
ANANTRAJ,BUY,R,4.0,Wide,8.069191177857196,314.6984559364306,39,6/6,5.017312074801869,227.3348652384244
APARINDS,BUY,R,4.0,Wide,10.54710904332144,569.543888339358,54,5/6,4.325874000087411,3458.890711325967
APLAPOLLO,BUY,ATR,2.0,Normal,1.1779445376784934,44.761892431782734,38,4/6,3.7668606232835087,1461.0477555248617
APOLLOHOSP,BUY,R,4.0,Wide,4.992265724971551,214.6674261737767,43,5/6,2.613680785117358,4652.516919889504
APOLLOTYRE,BUY,R,3.0,Loose,1.8148958738826613,68.9660432075411,38,6/6,3.098826996357224,316.7327002762431
ASAHIINDIA,BUY,R,2.5,Mixed-A,3.848838564911048,150.10470403153084,39,5/6,3.896040468011841,494.56377762430935
ASHOKLEY,BUY,R,4.0,Wide,2.755714382598205,110.2285753039282,40,5/6,3.097284162885668,147.99222375690607
ASIANPAINT,BUY,R,4.0,Wide,1.5192891589646471,47.09796392790406,31,4/6,2.1307175323446668,2726.949412983425
ASTERDM,BUY,R,3.0,Loose,3.81942581818998,183.33243927311904,48,4/6,3.855965639476965,287.20866712707186
ASTRAL,BUY,R,4.0,Wide,4.574449655360207,146.38238897152655,32,5/6,3.2036824191774365,1733.5304903314916
ASTRAL,SELL,R,3.0,Loose,0.3637732086696146,14.187155138114951,39,4/4,3.2036824191774365,1733.5304903314916
ASTRAZEN,BUY,R,4.0,Wide,7.951026027444428,302.1389890428883,38,5/6,3.154778389031676,4664.211015785861
ATUL,SELL,R,4.0,Wide,0.7523883187152438,24.0764261988878,32,4/4,2.616874050209567,7129.777950310559
AVANTIFEED,BUY,R,3.0,Loose,1.8903035986079704,66.16062595127903,35,4/6,3.801486016448992,529.2074240331492
AXISBANK,BUY,R,4.0,Wide,4.425127234194354,185.8553438361629,42,5/6,2.352301999349436,862.8757596685084
BAJAJELEC,BUY,target_pct,3.0,Tight,1.4714676457804885,45.615497019195146,31,5/6,3.750143869038976,894.8060124395302
BALAMINES,BUY,R,4.0,Wide,3.960640270479302,134.66176919629626,34,5/6,4.083625220944576,2089.9332872928176
BALAMINES,SELL,target_pct,5.0,Mixed-A,1.8242698240127848,71.14652313649859,39,4/5,4.083625220944576,2089.9332872928176
BALKRISIND,BUY,R,4.0,Wide,1.7641435173028597,84.6788888305372,48,4/6,2.887722377426617,2166.0574879227056
BALRAMCHIN,SELL,ATR,2.0,Normal,3.30872241801636,119.11400704858896,36,5/6,3.8162090160475457,367.5097653554175
BANDHANBNK,SELL,R,3.0,Loose,4.78740536053641,205.85843050306573,43,4/6,3.5165830754257783,255.42773636991024
BANKINDIA,SELL,target_pct,8.0,Loose,1.8564247546829933,59.405592149855785,32,4/6,3.723782714463993,80.90507936507936
BASF,BUY,R,4.0,Wide,8.759885637460803,359.15531113589293,41,5/6,3.708785816346356,3147.348172413793
BATAINDIA,SELL,target_pct,12.0,Wide,1.7825551667868238,80.21498250540708,45,4/6,2.595489072673738,1535.9689571823203
BBTC,BUY,R,4.0,Wide,4.926680211226725,152.72708654802855,31,6/6,3.692198180253573,1374.6403726708074
BDL,BUY,R,3.0,Loose,3.5437515446581025,138.20631024166605,39,5/6,4.073973119221129,895.5798826777087
BEL,BUY,R,4.0,Wide,7.908848576601108,237.26545729803323,30,5/6,3.248363504815269,193.81358868184955
BEML,BUY,R,2.0,Normal,4.541901364428519,136.25704093285557,30,5/6,3.956677779652449,2108.19841160221
BERGEPAINT,BUY,R,4.0,Wide,3.6304534422725,145.2181376909,40,4/6,2.503413357576386,613.6808143547274
BHARATFORG,BUY,R,4.0,Wide,3.177120415869008,117.55345538715324,37,5/6,3.2067411520419977,887.5502070393375
BHARTIARTL,BUY,R,4.0,Wide,3.2972721893312875,158.26906508790174,48,4/6,2.390328255326013,964.612215320911
BHEL,BUY,R,4.0,Wide,7.0131264463296255,252.47255206786647,36,6/6,4.025450391165779,120.48437543133196
BIOCON,BUY,target_pct,8.0,Loose,1.496558814107042,52.37955849374647,35,5/6,3.0566377287398123,332.9603519668737
BLUEDART,BUY,R,3.0,Loose,3.784160664099615,136.22978390758618,36,4/6,3.171697910817348,5978.420013802623
BOSCHLTD,BUY,ATR,3.0,Loose,1.992052483175984,73.70594187751144,37,5/6,2.626322210906617,20917.36456176673
BRIGADE,BUY,R,4.0,Wide,7.455145583291422,335.48155124811404,45,5/6,4.386865450419459,614.8743961352657
BSOFT,SELL,R,4.0,Wide,3.8880146312008743,116.64043893602631,30,6/6,3.714805257848105,390.62322291235336
CANBK,BUY,R,4.0,Wide,6.029529288770792,229.1221129732902,38,6/6,3.440999443269848,207.6504623878537
CANFINHOME,BUY,ATR,3.0,Loose,2.9730562248042447,110.00308031775708,37,4/6,3.4342326659529188,620.3985852311939
CARBORUNIV,BUY,R,4.0,Wide,3.857681488392384,127.30348911694875,33,4/6,3.770916941723855,872.6586611456177
CASTROLIND,BUY,target_pct,8.0,Loose,1.3411159582048104,46.93905853716836,35,4/5,2.8819289516639675,152.2372739820566
CCL,BUY,R,4.0,Wide,4.539004394440697,213.3332065387128,47,5/6,3.583503417849089,496.6140786749482
CEATLTD,BUY,target_pct,8.0,Loose,1.5606253969686792,54.62188889390379,35,4/6,3.565983523346819,1882.2436162870945
CENTRALBK,SELL,R,2.0,Normal,1.3532971691472455,54.1318867658898,40,4/6,4.148528510699358,31.56472739820565
CENTURYPLY,BUY,R,4.0,Wide,5.935963811794465,195.88680578921736,33,6/6,3.6796550229340848,538.138283942109
CENTURYTEX,BUY,R,4.0,Wide,5.453539818960135,179.9668140256844,33,6/6,4.094017712954117,895.6110362257791
CESC,BUY,target_pct,12.0,Wide,2.2140706092994824,77.49247132548184,35,4/6,3.3223648963000936,272.822160110421
CGCL,BUY,R,4.0,Wide,6.513206170334568,247.5018344727137,38,5/6,3.715675893009735,439.5095376121464
CGPOWER,BUY,R,4.0,Wide,7.597044858429802,334.26997377091124,44,6/6,4.073340210048434,322.2372325741891
CHALET,BUY,R,4.0,Wide,1.7830581836166912,74.88844371190108,42,5/6,4.238117916874916,466.21656314699794
CHAMBLFERT,BUY,R,3.0,Loose,3.3981554025227,129.1299052958626,38,5/6,3.574653817379726,344.5815734989648
CHOLAFIN,BUY,R,4.0,Wide,4.2582225016178,204.3946800776543,48,6/6,3.436396260095225,862.8791580400275
CHOLAHLDNG,BUY,R,4.0,Wide,4.981179438252124,194.26599809183276,39,6/6,3.840305885895584,926.4296756383714
CIPLA,BUY,R,4.0,Wide,1.9695326854657167,98.47663427328588,50,4/6,2.334043561080988,1090.2814699792962
COALINDIA,BUY,R,4.0,Wide,3.466033823738198,107.44704853588416,31,6/6,2.7540827313564398,261.69185645272603
CONCOR,SELL,target_pct,5.0,Mixed-A,2.970725069382339,92.0924771508525,31,4/6,3.1659090237088927,665.3187715665977
COROMANDEL,BUY,R,4.0,Wide,3.783092327007722,158.88987773432424,42,5/6,3.015428478731924,1141.6273982056591
