Symbol,Side,Method,Param,Preset,Expectancy_IS_OOS_mixed,Total_PnL_IS_OOS_mixed,Trades,Stability,atr_pct_med,avg_price
AAVAS,BUY,R,4.0,Wide,4.622101034717204,171.01773828453648,37,4/6,3.585508907615502,1874.297686464088
ADANIPORTS,BUY,R,2.5,Mixed-A,2.1627169542328213,71.36965948968306,33,5/6,3.17646429589554,862.7436809392266
ALKYLAMINE,SELL,R,2.5,Mixed-A,3.8684712238780863,174.08120507451395,45,4/6,3.4912315542508603,2711.227002762431
AMBER,BUY,R,4.0,Wide,10.092523655997638,474.34861183188895,47,5/6,4.089101160568769,3464.042714088398
AMBUJACEM,BUY,target_pct,12.0,Wide,3.1876051621376544,114.75378583695556,36,5/6,2.9357292874987744,422.3350483425414
ANANTRAJ,BUY,R,4.0,Wide,8.069191177857196,314.6984559364306,39,6/6,5.017312074801869,227.3348652384244
APARINDS,BUY,R,4.0,Wide,10.54710904332144,569.543888339358,54,5/6,4.325874000087411,3458.890711325967
APOLLOHOSP,BUY,R,4.0,Wide,4.992265724971551,214.6674261737767,43,5/6,2.613680785117358,4652.516919889504
ASAHIINDIA,BUY,R,2.5,Mixed-A,3.848838564911048,150.10470403153084,39,5/6,3.896040468011841,494.56377762430935
ASTERDM,BUY,R,3.0,Loose,3.81942581818998,183.33243927311904,48,4/6,3.855965639476965,287.20866712707186
ASTRAZEN,BUY,R,4.0,Wide,7.951026027444428,302.1389890428883,38,5/6,3.154778389031676,4664.211015785861
AVANTIFEED,BUY,R,3.0,Loose,1.8903035986079704,66.16062595127903,35,4/6,3.801486016448992,529.2074240331492
BALAMINES,SELL,target_pct,5.0,Mixed-A,1.8242698240127848,71.14652313649859,39,4/5,4.083625220944576,2089.9332872928176
BATAINDIA,SELL,target_pct,12.0,Wide,1.7825551667868238,80.21498250540708,45,4/6,2.595489072673738,1535.9689571823203
BERGEPAINT,BUY,R,4.0,Wide,3.6304534422725,145.2181376909,40,4/6,2.503413357576386,613.6808143547274
BHARATFORG,BUY,R,4.0,Wide,3.177120415869008,117.55345538715324,37,5/6,3.2067411520419977,887.5502070393375
BHARTIARTL,BUY,R,4.0,Wide,3.2972721893312875,158.26906508790174,48,4/6,2.390328255326013,964.612215320911
BHEL,BUY,R,4.0,Wide,7.0131264463296255,252.47255206786647,36,6/6,4.025450391165779,120.48437543133196
BOSCHLTD,BUY,ATR,3.0,Loose,1.992052483175984,73.70594187751144,37,5/6,2.626322210906617,20917.36456176673
BSOFT,SELL,R,4.0,Wide,3.8880146312008743,116.64043893602631,30,6/6,3.714805257848105,390.62322291235336
CCL,BUY,R,4.0,Wide,4.539004394440697,213.3332065387128,47,5/6,3.583503417849089,496.6140786749482
CEATLTD,BUY,target_pct,8.0,Loose,1.5606253969686792,54.62188889390379,35,4/6,3.565983523346819,1882.2436162870945
CENTRALBK,SELL,R,2.0,Normal,1.3532971691472455,54.1318867658898,40,4/6,4.148528510699358,31.56472739820565
CGCL,BUY,R,4.0,Wide,6.513206170334568,247.5018344727137,38,5/6,3.715675893009735,439.5095376121464
CHALET,BUY,R,4.0,Wide,1.7830581836166912,74.88844371190108,42,5/6,4.238117916874916,466.21656314699794
CHOLAFIN,BUY,R,4.0,Wide,4.2582225016178,204.3946800776543,48,6/6,3.436396260095225,862.8791580400275
CONCOR,SELL,target_pct,5.0,Mixed-A,2.970725069382339,92.0924771508525,31,4/6,3.1659090237088927,665.3187715665977
CREDITACC,BUY,R,4.0,Wide,3.691599584140586,118.13118669249876,32,4/6,3.9515630801442656,980.5774672187716
CRISIL,SELL,target_pct,8.0,Loose,1.170391452999076,44.474875213964914,38,5/5,3.293714563612419,3397.338923395445
CUB,BUY,ATR,3.0,Loose,2.451745467060598,78.45585494593914,32,5/6,3.164491286605357,159.70314009661837
