date,dte,atm,expiry,entry_time,spot_move,level,sl,pnl,rupees,outcome,control_1230
2020-01-02,0,12200,2020-01-02,12:30,0.548,65.35,63.75,-1.6,-120.0,SL,-1.7
2020-01-03,6,12250,2020-01-09,12:35,0.249,130.75,128.55,-2.2,-165.0,SL,-2.2
2020-01-07,2,12050,2020-01-09,13:10,0.01,114.0,112.4,-1.6,-120.0,SL,-0.6
2020-01-08,1,11950,2020-01-09,12:45,0.313,122.45,121.45,-1.0,-75.0,SL,-1.2
2020-01-09,0,12150,2020-01-09,12:30,0.445,52.85,48.45,-4.4,-330.0,SL,-2.55
2020-01-10,6,12250,2020-01-16,12:30,0.337,165.8,164.55,-1.25,-94.0,SL,-0.45
2020-01-15,1,12350,2020-01-16,13:45,0.479,91.05,85.2,-5.85,-439.0,SL,0.0
2020-01-21,2,12200,2020-01-23,14:05,0.076,100.4,98.05,-2.35,-176.0,SL,0.0
2020-01-23,0,12100,2020-01-23,12:30,0.224,57.15,52.65,23.4,1755.0,EOD,12.35
2020-01-24,6,12200,2020-01-30,12:30,0.407,142.65,141.5,-1.15,-86.0,SL,-0.6
2020-01-27,3,12200,2020-01-30,13:15,0.104,123.45,122.6,-0.85,-64.0,SL,-0.95
2020-01-28,2,12150,2020-01-30,13:35,0.08,112.3,110.95,-1.35,-101.0,SL,-0.9
2020-01-29,1,12100,2020-01-30,14:00,0.16,102.6,99.1,-3.5,-262.0,SL,-1.9
2020-02-03,3,11650,2020-02-06,13:05,0.443,159.2,156.0,-3.2,-240.0,SL,-0.4
2020-02-05,1,12000,2020-02-06,14:05,0.068,83.6,79.75,22.15,1661.0,EOD,-0.75
2020-02-06,0,12100,2020-02-06,13:20,0.213,57.65,49.5,-8.15,-611.0,SL,-2.7
2020-02-07,6,12150,2020-02-13,13:55,0.343,156.35,154.7,-1.65,-124.0,SL,-3.95
2020-02-11,2,12100,2020-02-13,13:40,0.183,106.3,104.8,-1.5,-112.0,SL,-0.4
2020-02-12,1,12150,2020-02-13,12:40,0.395,83.65,80.7,-2.95,-221.0,SL,0.0
2020-02-13,0,12200,2020-02-13,12:30,0.56,61.45,60.15,-1.3,-98.0,SL,-4.55
2020-02-14,6,12200,2020-02-20,13:20,0.33,141.45,139.7,-1.75,-131.0,SL,-0.75
2020-02-17,3,12150,2020-02-20,12:30,0.482,149.5,146.9,-2.6,-195.0,SL,0.0
2020-02-20,0,12100,2020-02-20,12:35,0.296,56.85,54.35,-2.5,-188.0,SL,-2.5
2020-02-24,3,12000,2020-02-27,12:40,0.217,150.75,147.8,70.6,5295.0,EOD,74.0
2020-02-25,2,11850,2020-02-27,14:05,0.053,142.5,138.85,-3.65,-274.0,SL,-1.4
2020-02-26,1,11750,2020-02-27,14:20,0.141,100.1,91.75,-8.35,-626.0,SL,-0.95
2020-03-02,3,11400,2020-03-05,12:50,0.089,238.15,235.35,-2.8,-210.0,SL,0.0
2020-03-03,2,11200,2020-03-05,13:15,0.139,278.7,275.05,-3.65,-274.0,SL,-1.1
2020-03-17,2,9300,2020-03-19,14:20,0.172,564.45,561.2,-3.25,-244.0,SL,-1.6
2020-03-24,2,7850,2020-03-26,12:40,0.498,693.85,686.6,-7.25,-544.0,SL,-1.95
2020-04-15,1,9200,2020-04-16,13:20,0.327,243.2,241.0,-2.2,-165.0,SL,-0.25
2020-05-11,3,9350,2020-05-14,13:55,0.128,243.55,242.35,-1.2,-90.0,SL,-3.7
2020-05-14,0,9200,2020-05-14,14:10,0.089,52.8,45.6,-7.2,-540.0,SL,0.0
2020-05-19,2,8950,2020-05-21,13:10,0.418,242.2,238.55,-3.65,-274.0,SL,-0.65
2020-05-21,0,9050,2020-05-21,13:00,0.57,84.65,80.25,-4.4,-330.0,SL,-2.4
2020-05-22,6,9050,2020-05-28,12:50,0.466,266.8,265.45,-1.35,-101.0,SL,-0.4
2020-05-26,2,9100,2020-05-28,13:10,0.04,167.25,165.45,3.95,296.0,EOD,-0.25
2020-05-27,1,9100,2020-05-28,13:00,0.58,131.6,127.45,94.65,7099.0,EOD,97.4
2020-05-29,6,9400,2020-06-04,13:40,0.549,269.7,268.0,-0.7,-53.0,EOD,0.0
2020-06-02,2,9850,2020-06-04,12:45,0.525,212.9,206.25,-6.65,-499.0,SL,-2.95
2020-06-03,1,10100,2020-06-04,14:15,0.202,146.6,143.25,-3.35,-251.0,SL,-0.9
2020-06-05,6,10100,2020-06-11,14:05,0.065,287.8,286.3,-1.5,-112.0,SL,-1.8
2020-06-10,1,10050,2020-06-11,12:40,0.084,162.7,161.5,-1.2,-90.0,SL,-3.15
2020-06-23,2,10350,2020-06-25,14:40,0.316,191.65,182.9,6.75,506.0,EOD,0.0
2020-06-24,1,10500,2020-06-25,13:15,0.053,160.05,150.4,62.7,4702.0,EOD,81.55
2020-06-26,6,10400,2020-07-02,12:40,0.274,302.15,299.7,-2.45,-184.0,SL,-2.9
2020-06-30,2,10400,2020-07-02,12:40,0.074,221.65,216.8,-4.85,-364.0,SL,-3.35
2020-07-03,6,10600,2020-07-09,13:15,0.122,248.7,246.3,-2.4,-180.0,SL,-0.4
2020-07-06,3,10700,2020-07-09,12:35,0.525,199.35,197.85,-1.5,-112.0,SL,-1.5
2020-07-08,1,10800,2020-07-09,14:45,0.204,128.9,113.65,12.6,945.0,EOD,0.0
2020-07-09,0,10750,2020-07-09,14:45,0.506,60.8,57.15,-3.65,-274.0,SL,-0.85
2020-07-13,3,10850,2020-07-16,12:45,0.246,189.05,185.1,-3.95,-296.0,SL,-1.95
2020-07-16,0,10700,2020-07-16,13:10,0.358,83.55,80.75,-2.8,-210.0,SL,-3.25
2020-07-20,3,11000,2020-07-23,12:35,0.007,205.85,204.5,-1.35,-101.0,SL,-1.35
2020-07-21,2,11100,2020-07-23,13:05,0.292,166.85,163.6,-3.25,-244.0,SL,-1.05
2020-07-22,1,11200,2020-07-23,13:10,0.407,138.9,126.25,-12.65,-949.0,SL,-2.55
2020-07-24,6,11150,2020-07-30,12:35,0.112,235.95,232.6,-3.35,-251.0,SL,-3.35
2020-07-27,3,11200,2020-07-30,13:25,0.364,203.6,200.05,-3.55,-266.0,SL,0.0
2020-07-29,1,11300,2020-07-30,12:55,0.004,124.85,123.1,-1.75,-131.0,SL,-1.65
2020-07-30,0,11250,2020-07-30,13:00,0.214,75.85,50.85,71.65,5374.0,EOD,0.0
2020-07-31,6,11150,2020-08-06,12:40,0.325,246.75,240.1,-6.65,-499.0,SL,-3.3
2020-08-05,1,11150,2020-08-06,12:30,0.317,128.3,126.1,-2.2,-165.0,SL,0.0
2020-08-06,0,11150,2020-08-06,12:55,0.364,103.15,87.4,-15.75,-1181.0,SL,-1.1
2020-08-07,6,11150,2020-08-13,14:30,0.02,219.85,214.8,-5.05,-379.0,SL,-0.35
2020-08-11,2,11300,2020-08-13,13:35,0.055,140.3,138.6,-1.7,-127.0,SL,-1.0
2020-08-12,1,11250,2020-08-13,12:35,0.279,122.8,119.8,-3.0,-225.0,SL,-2.6
2020-08-13,0,11350,2020-08-13,14:35,0.362,59.15,55.1,-4.05,-304.0,SL,-0.1
2020-08-14,6,11350,2020-08-20,13:15,0.057,178.75,177.5,-1.25,-94.0,SL,0.0
2020-08-17,3,11250,2020-08-20,12:50,0.116,182.05,181.35,-0.7,-52.0,SL,-2.0
2020-08-18,2,11250,2020-08-20,13:05,0.544,150.6,148.45,-2.15,-161.0,SL,0.0
2020-08-24,3,11400,2020-08-27,12:30,0.528,171.0,168.8,-2.2,-165.0,SL,0.0
2020-08-25,2,11500,2020-08-27,14:00,0.22,125.7,123.6,-2.1,-157.0,SL,-2.1
2020-08-26,1,11500,2020-08-27,14:35,0.279,97.0,95.35,-1.65,-124.0,SL,-1.1
2020-08-27,0,11600,2020-08-27,13:45,0.147,51.9,47.1,-4.8,-360.0,SL,-0.55
2020-08-28,6,11600,2020-09-03,12:35,0.397,198.65,197.9,-0.75,-56.0,SL,-0.6
2020-09-01,2,11450,2020-09-03,13:05,0.241,193.75,192.1,-1.65,-124.0,SL,0.0
2020-09-04,6,11350,2020-09-10,13:00,0.446,234.7,230.8,-3.9,-293.0,SL,-3.35
2020-09-07,3,11350,2020-09-10,14:35,0.185,187.8,182.75,-5.05,-379.0,SL,0.0
2020-09-08,2,11350,2020-09-10,12:30,0.589,170.05,168.3,-1.75,-131.0,SL,0.0
2020-09-09,1,11200,2020-09-10,13:20,0.064,124.05,121.75,-2.3,-173.0,SL,-0.85
2020-09-10,0,11350,2020-09-10,12:40,0.473,64.05,59.1,-4.95,-371.0,SL,-2.9
2020-09-11,6,11450,2020-09-17,13:55,0.188,206.35,204.75,-1.6,-120.0,SL,-0.3
2020-09-14,3,11550,2020-09-17,12:30,0.035,154.1,152.6,-1.5,-112.0,SL,-0.25
2020-09-15,2,11500,2020-09-17,13:15,0.213,143.7,140.25,-3.45,-259.0,SL,-1.4
2020-09-16,1,11550,2020-09-17,14:55,0.152,99.65,95.25,-4.4,-330.0,SL,-0.2
2020-09-17,0,11500,2020-09-17,14:25,0.022,52.6,45.8,-6.8,-510.0,SL,-0.2
2020-09-18,6,11550,2020-09-24,12:45,0.069,198.8,198.55,-0.25,-19.0,SL,0.0
2020-09-21,3,11500,2020-09-24,12:35,0.036,169.2,166.95,138.6,10395.0,EOD,138.6
2020-09-29,2,11250,2020-10-01,12:40,0.328,143.05,139.9,-3.15,-236.0,SL,-0.75
2020-10-01,0,11350,2020-10-01,12:40,0.261,72.05,66.8,-5.25,-394.0,SL,-7.15
2020-10-06,2,11600,2020-10-08,14:35,0.035,137.75,134.45,-3.3,-248.0,SL,0.0
2020-10-07,1,11700,2020-10-08,12:45,0.436,113.55,113.2,-0.35,-26.0,SL,0.0
